"uc_ea","uc","num_ea","bioma","regiao","expedicao","ano","tribo","soma_individuos"
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Ageroniini",2
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Anaeini",5
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Biblidini*",0
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Brassolini",8
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Callicorini*",0
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Coeini",21
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Epicaliini",1
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Epiphilini",4
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Haeterini",1
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Melanitini*",0
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Morphini",14
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Preponini",7
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_1","2017","Satyrini",61
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Ageroniini",4
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Anaeini",46
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Biblidini*",0
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Brassolini",5
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Callicorini*",0
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Coeini",8
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Epicaliini",3
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Epiphilini",8
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Haeterini*",0
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Melanitini*",0
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Morphini",39
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Preponini",16
"Esec_da_Terra_do_Meio_1","Esec_da_Terra_do_Meio",1,"Amazonia","central","2017_2","2017","Satyrini",46
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_1","2022","Ageroniini",1
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_1","2022","Anaeini*",0
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_1","2022","Biblidini*",0
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_1","2022","Brassolini",28
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_1","2022","Callicorini",2
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_1","2022","Coeini",11
"Esec_da_Terra_do_Meio_4","Esec_da_Terra_do_Meio",4,"Amazonia","central","2022_1","2022","Epicaliini",1
