classe;ordem;familia;genero;nome_cientifico;nome_comum;categoria;criterio
Aves;Galliformes;Cracidae;Aburria;Aburria cujubi;cujubi;Vulnerável;A2d
Aves;Galliformes;Cracidae;Aburria;Aburria cumanensis;cajubi, cujubi-de-barbela-fina, cujubim, jacutinga, jacutinga-de-garganta-azul;Menos Preocupante;NA
Aves;Galliformes;Cracidae;Aburria;Aburria jacutinga;jacutinga;Em Perigo;C2a(i)
Mammalia;Primates;Atelidae;Alouatta;Alouatta belzebul;Bugio, Guariba, Guariba-de-mãos-ruivas, Guariba-de-mãos-vermelhas;Vulnerável;A2cd
Mammalia;Primates;Atelidae;Alouatta;Alouatta caraya;Barbado, Bugio-preto, Guariba-preto;Quase Ameaçada;NA
Mammalia;Primates;Atelidae;Alouatta;Alouatta discolor;Guariba-de-mãos-ruivas, guariba-de-mãos-vermelhas;Vulnerável;A4cd
Mammalia;Primates;Atelidae;Alouatta;Alouatta guariba guariba;Bugio-ruivo;Vulnerável;"C1+2a(i); D"
Mammalia;Primates;Atelidae;Alouatta;Alouatta guariba clamitans;Bugio-ruivo;Criticamente em Perigo;A4ce
Mammalia;Primates;Atelidae;Alouatta;Alouatta macconnelli;Guariba, Guariba-vermelha;Menos Preocupante;NA
Mammalia;Primates;Atelidae;Alouatta;Alouatta nigerrima;Guariba-de-mãos-ruivas, guariba-preta;Menos Preocupante;NA
Mammalia;Primates;Atelidae;Alouatta;Alouatta seniculus;Bugio-vermelho, Guariba-vermelho;Menos Preocupante;NA
Mammalia;Primates;Atelidae;Alouatta;Alouatta ululata;capelão, Guariba, guariba-da-Caatinga;Em Perigo;C2a(i)
Mammalia;Primates;Aotidae;Aotus;Aotus azarae;Macaco-da-noite, Macaco-da-noite-de-pescoço-vermelho;Dados Insuficientes;NA
Mammalia;Primates;Aotidae;Aotus;Aotus nancymaae;Macaco-da-noite, Macaco-da-noite-de-pescoço-vermelho;Menos Preocupante;NA
Mammalia;Primates;Aotidae;Aotus;Aotus nigriceps;Macaco-da-noite, Macaco-da-noite-de-pescoço-vermelho, Quatro-olhos;Menos Preocupante;NA
Mammalia;Primates;Aotidae;Aotus;Aotus trivirgatus;Macaco-da-noite, Macaco-da-noite-de-pescoço-cinza;Menos Preocupante;NA
Mammalia;Primates;Aotidae;Aotus;Aotus vociferans;Macaco-da-noite, Macaco-da-noite-de-pescoço-cinza;Menos Preocupante;NA
Mammalia;Primates;Atelidae;Ateles;Ateles belzebuth;coatá, Macaco-aranha;Vulnerável;A4cd
Mammalia;Primates;Atelidae;Ateles;Ateles chamek;Coatá, Coatá-preto, Macaco-aranha, Macaco-aranha-da-cara-preta;Vulnerável;A4cd
Mammalia;Primates;Atelidae;Ateles;Ateles marginatus;Coatá-da-testa-branca, Cuamba (Pará), Guatá (Mato Grosso), Macaco-aranha;Em Perigo;A4cd
Mammalia;Primates;Atelidae;Ateles;Ateles paniscus;Coatá, Macaco-aranha;Menos Preocupante;NA
Mammalia;Carnivora;Canidae;Atelocynus;Atelocynus microtis;cachorro-do-mato-de-orelhas-curtas;Vulnerável;A4c
Mammalia;Carnivora;Procyonidae;Bassaricyon;Bassaricyon alleni;Gatiara, gogó-de-sola, janaú e macaco janauí/janauaí/januí, macaco da noite;Menos Preocupante;NA
Mammalia;Cetartiodactyla;Cervidae;Blastocerus;Blastocerus dichotomus;NA;Vulnerável;A3bc
Mammalia;Primates;Atelidae;Brachyteles;Brachyteles arachnoides;Buriqui, Buriquim, Mariquina, Mono, Mono-carvoeiro, Muriqui-do-sul, Muriquina, Muriquinina;Em Perigo;A4cd
Mammalia;Primates;Atelidae;Brachyteles;Brachyteles hypoxanthus;buriqui, buriquim, mariquina, mono, mono-carvoeiro, mono-da-cara-manchada, muriqui-do-norte, muriquina;Criticamente em Perigo;C2a(i)
Mammalia;Pilosa;Bradypodidae;Bradypus;Bradypus torquatus;Aí-pixuna, Preguiça-de-coleira, Preguiça-preta;Vulnerável;B2ab(iii)
Mammalia;Pilosa;Bradypodidae;Bradypus;Bradypus tridactylus;Preguiça-de-bentinho, Preguiça-de-garganta-amarela, Preguiça-de-três-dedos;Menos Preocupante;NA
Mammalia;Pilosa;Bradypodidae;Bradypus;Bradypus variegatus;Preguiça-comum, Preguiça-de-bentinho, Preguiça-de-óculos, Preguiça-marmota;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Cabassous;Cabassous tatouay;Tatu-de-rabo-mole-grande;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Cabassous;Cabassous unicinctus;cabassú (variação de capacou - tatu em Galibi - grupo indígena da Guiana Francesa, tatu-de-rabo-mole, tatu-de-rabo-mole-pequeno, tatu-rabo-de-couro;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Cacajao;Cacajao ayresi;bicó, Uacari-de-Ayres, uacari-preto;Menos Preocupante;NA
Mammalia;Primates;Cebidae;Cacajao;Cacajao calvus;bicó, Uacari-branco;Menos Preocupante;NA
Mammalia;Primates;Cebidae;Cacajao;Cacajao hosami;bicó, Uacari;Em Perigo;A4d
Mammalia;Primates;Pitheciidae;Cacajao;Cacajao novaesi;bicó, Uacari, uacari-de-Novaes;Quase Ameaçada;NA
Mammalia;Primates;Pitheciidae;Cacajao;Cacajao ouakary;Uacari-preto;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Cacajao;Cacajao rubicundus;Uacari, uacari-vermelho;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Cacajao;Cacajao ucayalii;Uacari;Dados Insuficientes;NA
Mammalia;Primates;Callitrichidae;Callibella;Callibella humilis;Sagui;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Callibella;Callicebus barbarabrownae;guigó, guigó-da-caatinga, pangola, sauá-loiro;Criticamente em Perigo;C2a(i)
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus bernhardi;Zogue-zogue;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus brunneus;Zogue-zogue;Quase Ameaçada;NA
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus coimbrai;Guigó, Guigó-de-Coimbra-Filho, Guigó de Sergipe;Em Perigo;C2a(i)
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus melanochir;Guigó, Sauá;Vulnerável;A4c
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus nigrifrons;Guigó, Sauá;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus personatus;Guigó, Guigó-mascarado, Sauá-de-cara-preta;Vulnerável;C2a(i)
Mammalia;Primates;Callitrichidae;Callimico;Callimico goeldii;Calimico, Macaco-de-Goeldi, Mico-preto, Sagui-de-Goeldi, Soim-preto, Taboqueiro;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Callistomys;Callistomys pictus;Rato-do-cacau, Saruê-beiju, Saruê-beju;Em Perigo;B1ab(i,ii,iii)
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix aurita;sagui-caveirinha, Sagui-da-serra-escuro;Em Perigo;A4cde
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix flaviceps;Sagui-da-serra, Sagui-da-serra-claro, Sagui-taquara;Em Perigo;C1+2a(i)
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix geoffroyi;Sagui-da-cara-branca;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix jacchus;mico, mico-estrela, nico, sagui, sagui-comum, sagui-de-tufo-branco, Sagui-do-nordeste;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix kuhlii;Sagui-de-wied;Quase Ameaçada;NA
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix penicillata;Mico-estrela, Sagui-de-tufos-pretos;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Caluromys;Caluromys lanatus;Cuíca-lanosa, Gambazinho, Mucura-xixica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Caluromys;Caluromys philander;Cuíca, Cuíca-lanosa, Mucura-xixica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Caluromysiops;Caluromysiops irrupta;Cuíca, Cuíca-amazônica, Cuíca-de-colete;Menos Preocupante;NA
Aves;Cariamiformes;Cariamidae;Cariama;Cariama cristata;seriema;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Carterodon;Carterodon sulcidens;"Rato-do-mato; Rato-de-espinho";Dados Insuficientes;NA
Mammalia;Rodentia;Caviidae;Cavia;Cavia aperea;Preá;Menos Preocupante;NA
Mammalia;Rodentia;Caviidae;Cavia;Cavia fulgida;Preá;Menos Preocupante;NA
Mammalia;Rodentia;Caviidae;Cavia;Cavia intermedia;Preá, Preá-de-Moleques-do-Sul;Criticamente em Perigo;"B2ab(iii); D"
Mammalia;Rodentia;Caviidae;Cavia;Cavia magna;Apereá de dorso oscuro, Preá;Quase Ameaçada;NA
Mammalia;Primates;Callitrichidae;Cebuella;Cebuella niveiventris;Mico-leãozinho, Sagui-leãozinho, Sagui-pigmeu;Menos Preocupante;NA
