cnuc;bioma;uc_ca;categoria;grupo
47;Amazonia;ESEC da Terra do Meio;ESEC;Proteção Integral
57;Amazonia;ESEC de Maracá;ESEC;Proteção Integral
60;Amazonia;ESEC de Niquiá;ESEC;Proteção Integral
61;Cerrado;ESEC de Pirapitinga;ESEC;Proteção Integral
67;Amazonia;ESEC do Jari;ESEC;Proteção Integral
68;Amazonia;ESEC do Rio Acre;ESEC;Proteção Integral
76;Cerrado;ESEC Serra Geral do Tocantins;ESEC;Proteção Integral
118;Amazonia;FLONA do Jamari;FLONA;Uso Sustentável
123;Amazonia;FLONA do Tapajós;FLONA;Uso Sustentável
136;Amazonia;PARNA da Amazônia;PARNA;Proteção Integral
139;Cerrado;PARNA da Chapada dos Veadeiros;PARNA;Proteção Integral
142;Mata Atlantica;PARNA da Serra da Bocaina;PARNA;Proteção Integral
143;Cerrado;PARNA da Serra da Bodoquena;PARNA;Proteção Integral
188;Amazonia;PARNA da Serra da Cutia;PARNA;Proteção Integral
148;Cerrado;PARNA da Serra do Cipó;PARNA;Proteção Integral
149;Amazonia;PARNA da Serra do Divisor;PARNA;Proteção Integral
151;Amazonia;PARNA da Serra do Pardo;PARNA;Proteção Integral
152;Mata Atlantica;PARNA da Serra dos Órgãos;PARNA;Proteção Integral
163;Amazonia;PARNA de Pacaás Novos;PARNA;Proteção Integral
169;Amazonia;PARNA do Cabo Orange;PARNA;Proteção Integral
172;Mata Atlantica;PARNA do Iguaçu;PARNA;Proteção Integral
173;Amazonia;PARNA do Jaú;PARNA;Proteção Integral
281;Amazonia;PARNA do Juruena;PARNA;Proteção Integral
174;Amazonia;PARNA do Monte Roraima;PARNA;Proteção Integral
178;Mata Atlantica;PARNA do Superagui;PARNA;Proteção Integral
179;Amazonia;PARNA do Viruá;PARNA;Proteção Integral
284;Amazonia;PARNA dos Campos Amazônicos;PARNA;Proteção Integral
1633;Amazonia;PARNA Mapinguari;PARNA;Proteção Integral
187;Amazonia;PARNA Montanhas do Tumucumaque;PARNA;Proteção Integral
1626;Amazonia;PARNA Nascentes do Lago Jari;PARNA;Proteção Integral
189;Amazonia;PARNA Serra da Mocidade;PARNA;Proteção Integral
202;Mata Atlantica;REBIO de Una;REBIO;Proteção Integral
208;Amazonia;REBIO do Jaru;REBIO;Proteção Integral
211;Amazonia;REBIO do Tapirapé;REBIO;Proteção Integral
213;Amazonia;REBIO do Uatumã;REBIO;Proteção Integral
196;Mata Atlantica;REBIO Guaribas;REBIO;Proteção Integral
207;Amazonia;REBIO Gurupi;REBIO;Proteção Integral
210;Amazonia;REBIO Trombetas;REBIO;Proteção Integral
274;Amazonia;RESEX Alto Tarauacá;RESEX;Uso Sustentável
285;Amazonia;RESEX Arapixi;RESEX;Uso Sustentável
221;Amazonia;RESEX Barreiro das Antas;RESEX;Uso Sustentável
222;Amazonia;RESEX Chico Mendes;RESEX;Uso Sustentável
232;Amazonia;RESEX do Cazumbá-Iracema;RESEX;Uso Sustentável
242;Amazonia;RESEX do Lago do Capanã Grande;RESEX;Uso Sustentável
238;Amazonia;RESEX do Rio Cautário;RESEX;Uso Sustentável
241;Amazonia;RESEX Ipaú-Anilzinho;RESEX;Uso Sustentável
1810;Amazonia;RESEX Renascer;RESEX;Uso Sustentável
256;Amazonia;RESEX Rio Ouro Preto;RESEX;Uso Sustentável
257;Amazonia;RESEX Riozinho da Liberdade;RESEX;Uso Sustentável
258;Amazonia;RESEX Riozinho do Anfrísio;RESEX;Uso Sustentável
259;Amazonia;RESEX Tapajós-Arapiuns;RESEX;Uso Sustentável
260;Amazonia;RESEX Verde Para Sempre;RESEX;Uso Sustentável
