"uc","Cnuc","bioma","grupo","n","taxa_enc_media","dp","ep","IC_95"
"ESEC Serra Geral do Tocantins","0000.00.0076","Cerrado","Proteção Integral",2,2.91798843067737,0.484907150748379,0.342881134540026,0.672034674676684
"ESEC da Terra do Meio","0000.00.0047","Amazônia","Proteção Integral",5,26.502462567732,7.26154017506982,3.24745949056037,6.36490364275111
"ESEC de Maracá","0000.00.0057","Amazônia","Proteção Integral",3,16.2333333333333,1.84481254693623,1.06510302057803,2.08756356015776
"ESEC de Niquiá","0000.00.0060","Amazônia","Proteção Integral",6,5.49906380881991,1.16334724345186,0.474934523355069,0.930854560790632
"ESEC de Pirapitinga","0000.00.0061","Cerrado","Proteção Integral",1,18.2758620689655,NA,NA,NA
"ESEC do Jari","0000.00.0067","Amazônia","Proteção Integral",1,9.2,NA,NA,NA
"ESEC do Rio Acre","0000.00.0068","Amazônia","Proteção Integral",2,18.55,8.55599205235723,6.05,11.8577821064673
"FLONA de Tapajós","0000.00.0123","Amazônia","Uso Sustentável",1,20.7535121328225,NA,NA,NA
"FLONA do Jamari","0000.00.0118","Amazônia","Uso Sustentável",9,11.2196143561735,2.6779821877796,0.892660729259866,1.7495828797626
"PARNA Mapinguari","0000.00.1633","Amazônia","Proteção Integral",6,10.4437382297552,2.44988754971438,1.0001624039996,1.96028229053021
"PARNA Montanhas do Tumucumaque","0000.00.0187","Amazônia","Proteção Integral",8,12.1514519056261,3.96196550569158,1.40076633795085,2.74545157313973
"PARNA Nascentes do Lago Jari","0000.00.1626","Amazônia","Proteção Integral",2,9.8962962962963,1.92752070723444,1.36296296296296,2.67135831966941
"PARNA Serra da Mocidade","0000.00.0189","Amazônia","Proteção Integral",6,8.14344685242518,2.64674758870916,1.08053017837987,2.11780023383318
"PARNA da Amazônia","0000.00.0136","Amazônia","Proteção Integral",6,15.5669190841376,3.46955325036465,1.41643918313471,2.77616978523536
"PARNA da Chapada dos Veadeiros","0000.00.0139","Cerrado","Proteção Integral",2,5,0,0,0
"PARNA da Serra da Bocaina","0000.00.0142","Mata Atlântica","Proteção Integral",3,3.78787878787879,0.524863881081478,0.303030303030303,0.593928480163653
"PARNA da Serra da Bodoquena","0000.00.0143","Cerrado","Proteção Integral",7,7.09272815942836,1.50092657750883,0.567296922893667,1.11188153741198
"PARNA da Serra da Cutia","0000.00.0188","Amazônia","Proteção Integral",6,13.0074074074074,1.93594544697482,0.790346419158771,1.54905051686139
"PARNA da Serra do Cipó","0000.00.0148","Cerrado","Proteção Integral",4,5.55555555555556,1.11111111111111,0.555555555555556,1.08886888030003
"PARNA da Serra do Divisor","0000.00.0149","Amazônia","Proteção Integral",5,14.8333333333333,5.64613929060282,2.52503025284407,4.94896835544844
"PARNA da Serra do Pardo","0000.00.0151","Amazônia","Proteção Integral",4,21.3289878113408,1.56266430540403,0.781332152702017,1.5313828792591
"PARNA da Serra dos Órgãos","0000.00.0152","Mata Atlântica","Proteção Integral",5,6.93029405341616,1.90924472111199,0.85384019641781,1.67349603353151
"PARNA de Pacaás Novos","0000.00.0163","Amazônia","Proteção Integral",3,18.5198326244078,2.91098811123233,1.68065976962779,3.29403261873585
"PARNA do Cabo Orange","0000.00.0169","Amazônia","Proteção Integral",7,12.5477985915774,0.681855313130367,0.257717084095861,0.505116203028568
"PARNA do Iguaçu","0000.00.0172","Mata Atlântica","Proteção Integral",5,5.52,1.7005881335585,0.760526133673262,1.49060383130109
"PARNA do Jaú","0000.00.0173","Amazônia","Proteção Integral",7,8.00136357050657,1.19446672671256,0.451465986888971,0.884857074547215
"PARNA do Juruena","0000.00.0281","Amazônia","Proteção Integral",6,17.6703703703704,1.85218811761799,0.756152632635024,1.48203192677979
"PARNA do Monte Roraima","0000.00.0174","Amazônia","Proteção Integral",4,4.86153198653199,1.85572005701789,0.927860028508945,1.81857223857184
"PARNA do Superagui","0000.00.0178","Mata Atlântica","Proteção Integral",4,3.15502183406114,0.356622998544396,0.178311499272198,0.349484116602848
"PARNA do Viruá","0000.00.0179","Amazônia","Proteção Integral",4,14.2668866392565,1.71700338851856,0.858501694259279,1.6826324014148
"PARNA dos Campos Amazônicos","0000.00.0284","Amazônia","Proteção Integral",3,10.2444444444444,1.195051525311,0.689963319833779,1.3523032575279
"REBIO Guaribas","0000.00.0196","Mata Atlântica","Proteção Integral",1,10,NA,NA,NA
"REBIO Trombetas","0000.00.0210","Amazônia","Proteção Integral",1,18.5714285714286,NA,NA,NA
"REBIO de Una","0000.00.0202","Mata Atlântica","Proteção Integral",1,2.10526315789474,NA,NA,NA
"REBIO do Gurupi","0000.00.0207","Amazônia","Proteção Integral",6,17.5754745982421,8.1296333409921,3.31890891355805,6.50494193854273
"REBIO do Jaru","0000.00.0208","Amazônia","Proteção Integral",7,14.1190476190476,1.96516959430771,0.742764290086271,1.45579125757155
"REBIO do Tapirapé","0000.00.0211","Amazônia","Proteção Integral",6,16.6555555555556,3.24589769583883,1.3251321853468,2.59721135803458
"REBIO do Uatumã","0000.00.0213","Amazônia","Proteção Integral",8,28.6310153884093,8.28030278796057,2.9275291258224,5.73785165030392
"RESEX Arapixi","0000.00.0285","Amazônia","Uso Sustentável",4,15.6741869918699,6.91494659298004,3.45747329649002,6.77652313862942
"RESEX Barreiro das Antas","0000.00.0221","Amazônia","Uso Sustentável",6,7.65969371130661,1.51797157503106,0.619709300479169,1.21460790982368
"RESEX Chico Mendes","0000.00.0222","Amazônia","Uso Sustentável",2,17.7333333333333,1.13137084989847,0.799999999999999,1.56797118763204
"RESEX Ipaú-Anilzinho","0000.00.0241","Amazônia","Uso Sustentável",4,10.2,3.64783040541452,1.82391520270726,3.5748081081613
"RESEX Renascer","0000.00.1810","Amazônia","Uso Sustentável",3,16.5634889753567,3.88925376963318,2.24546171084448,4.40102408191888
"RESEX Rio Ouro Preto","0000.00.0256","Amazônia","Uso Sustentável",6,8.00343220531962,2.22986224903809,0.910337451139707,1.78422861801182
"RESEX Riozinho da Liberdade","0000.00.0257","Amazônia","Uso Sustentável",3,13.1555555555556,1.92911417015206,1.11377458543481,2.18295807434827
"RESEX Riozinho do Anfrísio","0000.00.0258","Amazônia","Uso Sustentável",5,21.0802355350742,4.32632983274215,1.93479351981935,3.7921256163674
"RESEX Tapajós-Arapiuns","0000.00.0259","Amazônia","Uso Sustentável",9,13.1487954108357,2.30450432473657,0.768168108245524,1.50558182623349
"RESEX Verde para Sempre","0000.00.0260","Amazônia","Uso Sustentável",1,28.9473684210526,NA,NA,NA
"RESEX do Alto Tarauacá","0000.00.0274","Amazônia","Uso Sustentável",6,16.4777777777778,3.2652831537363,1.3330462653933,2.61272266989648
"RESEX do Cazumbá-Iracema","0000.00.0232","Amazônia","Uso Sustentável",9,14.762962962963,2.87655486671723,0.958851622239076,1.87931464610639
"RESEX do Lago do Capanã Grande","0000.00.0242","Amazônia","Uso Sustentável",2,9.3,1.27279220613578,0.899999999999999,1.76396758608605
"RESEX do Rio do Cautário","0000.00.0238","Amazônia","Uso Sustentável",3,12.6044007878114,1.48593150628034,0.857902955148298,1.68145889432114
