Nº;UC;Bioma;UF;ARPA;Alvo;2014;2015;2016;2017;2018;2019;2020;2021;2022;EA por alvo;EA por UC;UA por alvo;UA por UC;Consolidada;Protocolo Avançado
1;ESEC Alto Maués;Amz;AM;x;MaAv;;;;;;;;;;;2;;2;;
;ESEC Alto Maués;;;;Borbo;;;;;;;;;;;;;;;
;ESEC Alto Maués;;;;Plan;;;;;;1,2*;;;;2;;2;;;x
2;ESEC da Terra do Meio/RESEX Rio Iriri;Amz;PA;x;MaAv;1,2;1,2;1,2,3*;1,3;1,3;1,2,3;1,2,3;1,2,3;4,5,6;6;6;6;23;;Team
;ESEC da Terra do Meio/RESEX Rio Iriri;;;;Borbo;;;;1;1;1;1;1;4,5,6*;4;;16;;;x
;ESEC da Terra do Meio/RESEX Rio Iriri;;;;Plan;;;1;;;;;1;1;1;;1;;;
3;ESEC de Maracá;Amz;RR;x;MaAv;;;;;1,2;1,2,3*;1,2,3;1,2,3;1,3;3;3;3;18;x;Team
;ESEC de Maracá;;;;Borbo;;;;;1,2*;1,2,3*;1,2,3;1,2,3;1,3*;3;;12;;;x
;ESEC de Maracá;;;;Plan;;;;1;;1,2,3*;;;;3;;3;;;x
4;ESEC de Niquiá;Amz;RR;x;MaAv;;;;1;1;1*;1;1;1;1;1;1;6;;Trilha
;ESEC de Niquiá;;;;Borbo;;;;1;1*;1*;1*;1*;1*;1;;4;;;x
;ESEC de Niquiá;;;;Plan;;;1;;;;;1*;;1;;1;;;x
5;ESEC de Pirapitinga;Cerd;MG;;MaAv;;;;;;;;;1;1;2;1;10;;
;ESEC de Pirapitinga;;;;Borbo;;;;;;;;;1,2*;2;;8;;;x
;ESEC de Pirapitinga;;;;Plan;;;;;;;;;1;1;;1;;;
6;ESEC do Jari;Amz;AP/PA;x;MaAv;;;;;;;;;1,2,3;3;3;3;18;x;
;ESEC do Jari;;;;Borbo;;;;;;;;;1,2,3*;3;;12;;;x
;ESEC do Jari;;;;Plan;;;;;;;;;1,2,3*;3;;3;;;x
7;ESEC Rio Acre;Amz;AC;x;MaAv;;;;;;;;1;1;1;1;1;5;;
;ESEC Rio Acre;;;;Borbo;;;;;;;;;1;1;;4;;;
;ESEC Rio Acre;;;;Plan;;;;;;;;;;;;;;;
8;ESEC Serra Geral do Tocantins;Cerd;TO;;MaAv;1, 2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;2;2;2;4;;
;ESEC Serra Geral do Tocantins;;;;Borbo;;;;;;;;;;;;;;;
;ESEC Serra Geral do Tocantins;;;;Plan;;1,2;;;1,2*;;;;;2;;2;;;x
9;FLONA de Carajás;Amz;PA;;MaAv;;;;;;;;;;;1;;1;;
;FLONA de Carajás;;;;Borbo;;;;;;;;;;;;;;;
;FLONA de Carajás;;;;Plan;;;;;;;;;1*;1;;1;;;x
11;FLONA de Tapajós;Amz;PA;;MaAv;;;;;;;;;1,2,3*;3;3;3;15;;Team
;FLONA de Tapajós;;;;Borbo;;;;;;;;;1,2,3*;3;;12;;;x
;FLONA de Tapajós;;;;Plan;;;;;;;;;;;;;;;
10;FLONA do Jamari;Amz;RO;;MaAv;1,2;2;1,2,3*;1,2,3;2,3,4;2,3,4;2,4*;2,3,4;2,4;4;4;4;23;x;Team
;FLONA do Jamari;;;;Borbo;1,2;2;2, 3*;1,2,3*;1,2,3,4*;2,3,4*;3*;2,3*;1,2,3,4*;4;;16;;;x
;FLONA do Jamari;;;;Plan;2;;;1,2,4*;;;;;1,2,4;3;;3;;;x
12;PARNA da Amazônia;Amz;PA;x;MaAv;;;;1,2,3*;1,2,3;1,2,3;1,2,3;2,3,4;2,3,4;4;4;4;19;x;Trilha
;PARNA da Amazônia;;;;Borbo;;;;;1,2,3;1,2,3;1,2,3;1,2.3;1,2.3;3;;12;;;x
;PARNA da Amazônia;;;;Plan;;;;;1,2,3*;;;;;3;;3;;;x
13;PARNA da Chapada dos Veadeiros;Cerd;GO;;MaAv;1*;1*;1;1;1;1;1;1;1;1;1;1;6;;
