Nº;UC;Bioma;UF;ARPA;2014;2015;2016;2017;2018;2019;2020;2021;2022;Nº de EAs/UAs;Consolidada;Protocolo Avançado
1;ESEC Alto Maués;Amz;AM;x;;;;;;1*,2*;;;;2;;x
2;ESEC da Terra do Meio/RESEX Rio Iriri;Amz;PA;x;;;1;;;;;1;1;1;;
3;ESEC de Maracá;Amz;RR;x;;;;1;;1*,2*,3*;;;;3;x;x
4;ESEC de Niquiá;Amz;RR;x;;;1;;;;;1*;;1;;x
5;ESEC de Pirapitinga;Cerd;MG;;;;;;;;;;1;1;;
6;ESEC do Jari;Amz;AP/PA;x;;;;;;;;;1,2,3;3;x;
7;ESEC Serra Geral do Tocantins;Cerd;TO;;;1,2;;;1*,2*;;;;;2;;x
8;FLONA de Carajás;Amz;PA;x;;;;;;;;;1*;1;;x
9;FLONA do Jamari;Amz;RO;;2;;;1*,2*,4*;;;;;1,2,4;3;x;x
10;PARNA da Amazônia;Amz;PA;x;;;;;1*,2*,3*;;;;;3;x;x
11;PARNA da Chapada dos Veadeiros;Cerd;GO;;;;;;1*;;;;;1;;x
12;PARNA da Serra da Bocaina;Matl;RJ/SP;;1;;;;;1;1;1;1;1;;
13;PARNA da Serra da Bodoquena;Cerd;MS;;1;2;;;;1*,2*;;;;2;;x
14;PARNA da Serra da Cutia;Amz;RO;x;;;1;;2, 3;;;1;1;3;x;
15;PARNA da Serra do Cipó;Cerd;MG;;1;;;;1*;;;;;1;;x
16;PARNA da Serra do Divisor;Amz;AC;x;;;;;1;2;3;;2*,3*;3;x;x
17;PARNA da Serra do Pardo;Amz;PA;x;;;;;;;;;1*,2*;2;;x
18;PARNA da Serra dos Órgãos;Matl;RJ;;1;;2;;;1*,2*;;;;2;;x
19;PARNA de Brasília;Cerd;DF;;1;;;;1*;;;;;1;;x
20;PARNA de Pacaás Novos;Amz;RO;x;;;;;;1,2,3;;;;3;x;
21;PARNA do Cabo Orange;Amz;AP;x;;;;1*,2*,3*;;;;;1,2,3;3;x;x
22;PARNA do Jaú;Amz;AM;x;1,2;;;1*,2*,3*;;;;;1,2,3;3;x;x
23;PARNA do Juruena;Amz;MT;x;;;;1*,2*,3*;;;;;1,2,3;3;x;x
24;PARNA do Monte Roraima;Amz;RR;x;;;;;;1;;;;1;;
25;PARNA do Superagui;Matl;PR;;;;1;;2;3;;1;;3;x;
26;PARNA do Viruá;Amz;RR;x;;;;;;1;;;;1;;
27;PARNA dos Campos Amazônicos;Amz;AM;x;;;;;;1,2,3;;;;3;x;
28;PARNA Mapinguari;Amz;AM/RO;x;;;;1;1*,2*,3*;;;4,5,6;1;6;x;x
29;PARNA Montanhas do Tumucumaque;Amz;AP;x;1;2;;1*,2*,3*;;;;1,2,3;;3;x;x
30;PARNA Nascentes do Lago Jari;Amz;AM;x;;;;;;1,2,3;;;;3;x;
31;PARNA Serra da Mocidade;Amz;RR;x;;;1;;;;;1*;;1;;x
32;REBIO do Gurupi;Amz;MA;x;;;1;1*,2*;;;;;1,2;2;;x
33;REBIO do Jaru;Amz;RO;x;;;;1*,2*,3*,4*;;;;;1,2,3,4;4;x;x
34;REBIO do Tapirapé;Amz;PA;x;;;1;1*,2*,3*;;;;;1,2,3;3;x;x
35;REBIO do Uatumã;Amz;AM;x;1;;;1*,2*,3*;;;;;1,2,3;3;x;x
36;RESEX Arapixi;Amz;AM;x;;;;;;1,2;;;;2;;
37;RESEX Barreiro das Antas;Amz;RO;x;;;;1;2,3;;;;;3;x;
38;RESEX Alto Tauaracá;Amz;AC;x;;;;;1,2,3;;;;;3;x;
39;RESEX do Cazumbá-Iracema;Amz;AC;x;1,2,3;;;1*,2*;;1*,2*,3*;;;;3;x;x
40;RESEX Ipaú-Anilzinho;Amz;PA;x;;;;;;1;;;;1;;
41;RESEX Ituxí;Amz;AM;x;;;;;;1,2,3;;;;3;x;
42;RESEX Renascer;Amz;PA;x;;;;;1,2,3;;;;;3;x;
43;RESEX Rio Ouro Preto;Amz;RO;x;;;;1,2,3;;;;;1,2,3;3;x;
44;RESEX Riozinho da Liberdade;Amz;AC;x;;;;;;;1,2;;3;3;x;
45;RESEX Tapajós Arapiuns;Amz;PA;x;;;;;2*,4*,8* ;;;;;3;x;x
46;RESEX Verde para Sempre;Amz;PA;x;;;;;;;;;1, 2;2;;
;Total ;;16;36;;;;;;;;;;110;26;26
