Nº;UC;Bioma;UF;ARPA;2014;2015;2016;2017;2018;2019;2020;2021;2022;Nº de EAs;Nº de UAs;Consolidada;Protocolo Avançado
1;Esec da Terra do Meio/Resex Rio Iriri;Amz;PA;x;;;;1;1;1;1;1;4,5,6*;4;16;x;x
2;Esec de Maracá;Amz;RR;x;;;;;1,2*;1,2,3*;1,2,3;1,2,3;1,3*;3;12;x;x
3;Esec de Niquiá;Amz;RR;x;;;;1;1*;1*;1*;1*;1*;1;4;;x
4;Esec de Pirapitinga;Cerd;MG;;;;;;;;;;1,2*;2;8;;x
5;Esec do Jari;Amz;AP/PA;x;;;;;;;;;1,2,3*;3;12;x;x
6;Esec Rio Acre;Amz;AC;x;;;;;;;;;1;1;4;;
7;Flona de Tapajós;Amz;PA;;;;;;;;;;1,2,3*;3;12;x;x
8;Flona do Jamari;Amz;RO;;1,2;2;2, 3*;1,2,3*;1,2,3,4*;2,3,4*;3*;2,3*;1,2,3,4*;4;16;x;x
9;Parna da Amazônia;Amz;PA;x;;;;;1,2,3;1,2,3;1,2,3;1,2.3;1,2.3;3;12;x;
10;Parna da Chapada dos Veadeiros;Cerd;GO;;;;;1;1;1;1;1;1;1;4;;
11;Parna da Serra da Bocaina;Matl;SP/RJ;;;1;1;1;1;1;1;1;1;1;4;;
12;Parna da Serra da Bodoquena;Cerd;MS;;1;2;1, 2;1,2;1,2;1,2;1,2;1,2;1,2;2;8;;
13;Parna da Serra da Cutia;Amz;RO;x;;;;1;1,2,3*;1,2,3*;1,2,3*;1,2,3*;1,2,3*;3;12;x;x
15;Parna da Serra do Cipó;Cerd;MG;;;;;1;1;1;1;1, 2*;1,2*;2;8;;x
16;Parna da Serra do Divisor;Amz;AC;x;;;;;1;1, 2;1,2;1,2,3;1,2,3;3;12;x;
17;Parna da Serra dos Órgãos;Matl;RJ;;;;1;1, 2;1,2;1,2;1,2;1,2;1,2;2;8;;
18;Parna de Brasília *;Cerd;DF;;;;;1;1;1;1;1;1*;1;4;;x
19;Parna de Pacaás Novos;Amz;RO;x;;;;;;1,2,3;1,2,3;1,2,3;1,2,3;3;12;x;
20;Parna do Cabo Orange;Amz;AP;x;;;1,2;1,2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;12;x;
21;Parna do Iguaçu;Matl;PR;;;;1;1;1*;1;1;1;1*;1;4;;x
22;Parna do Jaú;Amz;AM;x;;1,2,3;1,2,3;1,2,3;1,2,3*;1,2,3*;1,2,3;1,2,3*;1,2,3*;3;12;x;x
23;Parna do Juruena;Amz;MT;x;;;;1,2,3*;1,2,3*;1,2,3;1,2,3;1,2,3;1,2,3;3;12;x;x
24;Parna do Monte Roraima;Amz;RR;x;;;;;;1*;;3*;3*;2;8;;x
25;Parna do Superagui;Matl;PR;;;;1;1;1, 2;1,2;1,2;1,2;1,2,3;3;12;x;
26;Parna do Viruá;Amz;RR;x;;;;;1*;1*;1*;1*;1, 2*;2;8;;x
27;Parna dos Campos Amazônicos;Amz;AM;x;;;;;;;;1,2,3*;1,2,3*;3;12;x;x
28;Parna Mapinguari;Amz;AM/RO;x;;;;;1,2*;1,2,3*;4,5,6*;1,2,3,4,5,6*;1,2,3,4,5,6*;6;24;x;x
29;Parna Montanhas do Tumucumaque;Amz;AP;x;;;1,2;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;12;x;
30;Parna Nascentes do Lago Jari;Amz;AM;x;;;;;;;;;1,2,3*;3;12;x;x
14;Parna Serra da Mocidade;Amz;RR;x;;;;1*;1*;1*;1*;1*;1*;1;4;;x
31;Rebio de Una;Matl;BA;;;;;;;;;;1;1;4;;
32;Rebio do Gurupi;Amz;MA;x;;;1;1;1, 2;1,2;1,2;1,2,3;1,2,3*;3;12;x;x
33;Rebio do Jaru;Amz;RO;x;;;1,2,3;1,2,3;1,2,3,4;1,2,3,4;4;4;1,2,3,4;4;16;x;
34;Rebio do Tapirapé;Amz;PA;x;;;1;1, 2;1,2,3*;1,2,3*;1,2,3;1,2,3*;1,2,3*;3;15;x;x
35;Rebio do Uatumã;Amz;AM;x;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3*;1,2,3;1,2,3;1,2,3;3;12;x;x
36;Rebio Guaribas;Matl;PB;;;;1;1;1;1;1;1;1;1;4;;
37;Resex Arapixi;Amz;AM;x;;;;;;1,2;1,2;1,2;1,2,3*;3;12;x;x
38;Resex Barreiro das Antas;Amz;RO;x;;;;;1,2,3*;1,2,3*;1,2,3*;1*;1,2,3*;3;12;x;x
39;Resex Chico Mendes;Amz;AC;x;;;;;1;1,2,3*;1,2,3;1,2,3;1,2,3;3;12;x;x
40;Resex do Alto Tarauacá;Amz;AC;x;;;;1;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;12;x;
41;Resex do Cazumbá-Iracema;Amz;AC;x;;;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;12;x;
42;Resex do Lago do Capanã Grande;Amz;AM;x;;;;;;;;1;1, 2;2;8;;
43;Resex do Rio Cautário;Amz;RO;x;;;;;;1,2,3*;1,2,3;1,2,3;1,2,3;3;12;x;x
44;Resex Ipaú-Anilzinho;Amz;PA;x;;;;;;1*;1*;1*;1, 2*;2;8;;x
45;Resex Renascer;Amz;PA;x;;;;;1,2,3;1,2,3;1,2,3;1,2,3*;1,2,3;3;12;x;x
46;Resex Rio Ouro Preto;Amz;RO;x;;;;1,2*;1,2,3*;1,2,3*;1,2,3;1,2,3*;1,2,3*;3;12;x;x
47;Resex Riozinho da Liberdade;Amz;AC;x;;;;;;;1;1,2,3;1,2,3;3;12;x;
48;Resex Riozinho do Anfrisio;Amz;PA;x;;;;;;1,2;1,2;1,2;1,2*;2;8;;x
49;Resex Tapajós Arapiuns;Amz;PA;x;;1,2,4,5;1,2,3,4,8;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,6,7,8,9;1,2,3,4,5,6,7,8,9;1,2,4,6,7,8,9;1,2,4,6,7,8,9;9;36;x;x
50;Resex Verde para Sempre;Amz;PA;x;;;;;;;;;1,2;2;8;;
;Total ;;17;37;;;;;;;;;;134;539;31;31
