Nº;UC;Bioma;UF;ARPA;2014;2015;2016;2017;2018;2019;2020;2021;2022;Nº de EAs/UAs;Consolidada;Protocolo Avançado
1;ESEC da Terra do Meio/RESEX Rio Iriri;Amz;PA;X;1,2;1,2;1,2,3*;1,3*;1,3*;1,2,3*;1,2,3;1,2,3;4,5,6*;6;X;Team
2;ESEC de Maracá;Amz;RR;X;;;;;1,2;1,2,3*;1,2,3*;1,2,3*;1,3;3;X;Team
3;ESEC de Niquiá;Amz;RR;X;;;;1;1;1;1;1;1;1;;Trilha
4;ESEC de Pirapitinga;Cerd;MG;;;;;;;;;;1;1;;
5;ESEC do Jari;Amz;AP/PA;X;;;;;;;;;1,2,3;3;X;
6;ESEC Rio Acre;Amz;AC;X;;;;;;;;1*;1;1;;
7;ESEC Serra Geral do Tocantins;Cerd;TO;;1, 2;1,2*;1,2;1,2;1,2;1,2;1,2;1,2;1,2;2;;
8;FLONA de Tapajós;Amz;PA;;;;;;;;;;1,2,3*;3;X;Team
9;FLONA do Jamari;Amz;RO;;1,2;2;1,2,3*;1,2,3*;2,3,4*;2,3,4*;2.4*;2,3,4*;2,4;4;X;Team
10;PARNA da Amazônia;Amz;PA;X;;;;1,2,3;1,2,3;1,2,3;1,2,3;2,3,4;2,3,4;4;X;Trilha
11;PARNA da Chapada dos Veadeiros;Cerd;GO;;1*;1*;1;1;1;1;1;1;1;1;;
12;PARNA da Serra da Bocaina;Matl;SP/RJ;;1;1;1;1;1;1;1;1;1;1;;
13;PARNA da Serra da Bodoquena;Cerd;MS;;1;1, 2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;2;;
14;PARNA da Serra da Cutia;Amz;RO;X;;;;1;1,2,3;1,2,3;1,2,3;1,2,3;1,2,3;3;X;
15;PARNA da Serra do Cipó;Cerd;MG;;1;1;1;1;1;1;1;1;1;1;;
16;PARNA da Serra do Divisor;Amz;AC;X;;;;;1;1, 2;2, 3;1,2,3;1,2,3;3;X;
17;PARNA da Serra do Pardo;Amz;PA;X;;;1,2,3;1,2,3;1,3;1,2,3;1,2,3;1,2,3;1,2,3;3;X;
18;PARNA da Serra dos Órgãos;Matl;RJ;;1;1;1,2;2;1,2;1,2;1,2*;1,2;1,2;2;;Team
19;PARNA de Pacaás Novos;Amz;RO;X;;;;;;;1,2,3;1,2,3;2,3;3;X;
