UC ;Bioma ;CNUC ;UA ;Ano;Altura;Circunferência;Densidade;Cobertura;Biomassa;Área  Basal;Liocourt
ESEC Alto Maues ;Amazônia ;3131 ;1 ;2019 ;0 ;55,2 ;672,5 ;0,03 ;8,7 ;19,31 ;1,1 
ESEC Alto Maues ;Amazônia ;3131 ;2 ;2019 ;0 ;59,9 ;650 ;0,03 ;8,4 ;22,57 ;1,1 
ESEC da Terra do Meio ;Amazônia ;47 ;1 ;2016 ;10 ;71 ;507,5 ;0,07 ;296,1 ;35,77 ;1,1 
ESEC de Maracá ;Amazônia ;57 ;1 ;2017 ;14,8 ;63,9 ;450 ;0,04 ;109,1 ;18,84 ;1,3 
ESEC de Maracá ;Amazônia ;57 ;2 ;2019 ;16,2 ;73,1 ;457,5 ;0,06 ;216,7 ;27,26 ;1,3 
ESEC de Maracá ;Amazônia ;57 ;3 ;2019 ;17,3 ;80,6 ;345 ;0,07 ;200,4 ;24,8 ;1,3 
ESEC de Niquiá ;Amazônia ;60 ;1 ;2016 ;13 ;47,2 ;1002,5 ;0,02 ;117,6 ;19,6 ;1,1 
ESEC de Niquiá ;Amazônia ;60 ;1 ;2021 ;12,2 ;49 ;990 ;0,02 ;128,3 ;20,83 ;1,1 
ESEC de Pirapitinga ;Amazônia ;61 ;1 ;2022 ;8,4 ;57,7 ;280 ;0,03 ;59,4 ;8,58 ;0,6 
ESEC do Jari ;Amazônia ;67 ;1 ;2022 ;18 ;83,4 ;550 ;0,42 ;305,2 ;229,17 ;1,3 
ESEC do Jari ;Amazônia ;67 ;2 ;2022 ;17,2 ;69,4 ;462,5 ;0,06 ;230,8 ;28,26 ;1,3 
ESEC do Jari ;Amazônia ;67 ;3 ;2022 ;14,5 ;65,2 ;460 ;0,05 ;192 ;24,14 ;1,3 
FLONA de Carajás ;Amazônia ;88 ;1 ;2022 ;13,7 ;69,6 ;435 ;0,05 ;181,9 ;23,5 ;1,6 
FLONA do Jamari ;Amazônia ;118 ;1 ;2017 ;14,2 ;63,7 ;472,5 ;0,04 ;112,4 ;19,1 ;1,1 
FLONA do Jamari ;Amazônia ;118 ;2 ;2014 ;0 ;66,8 ;407,5 ;0,05 ;132,7 ;18,74 ;1,1 
FLONA do Jamari ;Amazônia ;118 ;2 ;2017 ;17,2 ;64,8 ;440 ;0,04 ;123,5 ;18,72 ;1,1 
FLONA do Jamari ;Amazônia ;118 ;4 ;2017 ;15,5 ;61,6 ;475 ;0,04 ;144,7 ;19,84 ;1,1 
PARNA da Amazônia  ;Amazônia ;136 ;1 ;2018 ;14,1 ;65 ;472,5 ;0,04 ;144,9 ;20,13 ;1,7 
PARNA da Amazônia  ;Amazônia ;136 ;2 ;2018 ;12 ;57,7 ;437,5 ;0,03 ;100,5 ;14,24 ;1,7 
PARNA da Amazônia  ;Amazônia ;136 ;3 ;2018 ;13,8 ;59,9 ;487,5 ;0,04 ;126,1 ;17,73 ;1,7 
PARNA da Serra da Cutia  ;Amazônia ;188 ;1 ;2016 ;9,1 ;56 ;667,5 ;0,03 ;148,4 ;21,52 ;1,1 
PARNA da Serra do Pardo ;Amazônia ;151 ;1 ;2022 ;14,4 ;56,2 ;257,5 ;0,03 ;39,7 ;7,72 ;1,2 
PARNA da Serra do Pardo ;Amazônia ;151 ;2 ;2022 ;12,6 ;61,1 ;205 ;0,04 ;33,8 ;7,4 ;1,2 
PARNA de Pacaas Novos ;Amazônia ;163 ;1 ;2019 ;9,6 ;64,3 ;555 ;0,05 ;175,1 ;25,73 ;1,3 
PARNA de Pacaas Novos ;Amazônia ;163 ;2 ;2019 ;12,8 ;63,2 ;530 ;0,04 ;152 ;22,16 ;1,3 
PARNA de Pacaas Novos ;Amazônia ;163 ;3 ;2019 ;11,5 ;84,2 ;410 ;0,1 ;299,3 ;39,64 ;1,3 
PARNA do Cabo Orange ;Amazônia ;169 ;1 ;2017 ;16 ;62,1 ;605 ;0,04 ;178,5 ;24,6 ;1,4 
PARNA do Cabo Orange ;Amazônia ;169 ;2 ;2017 ;15,7 ;69,8 ;412,5 ;0,06 ;178,6 ;23 ;1,4 
PARNA do Cabo Orange ;Amazônia ;169 ;3 ;2017 ;14,3 ;60,4 ;642,5 ;0,04 ;191,2 ;25,86 ;1,4 
PARNA do Juruena ;Amazônia ;281 ;1 ;2017 ;16 ;59,5 ;555 ;0,04 ;126,9 ;20,72 ;1,5 
PARNA do Juruena ;Amazônia ;281 ;1 ;2022 ;16,6 ;61,2 ;522,5 ;0,04 ;141,2 ;21,39 ;1,5 
PARNA do Juruena ;Amazônia ;281 ;2 ;2017 ;13,8 ;56,4 ;510 ;0,03 ;107,6 ;16,16 ;1,5 
PARNA do Juruena ;Amazônia ;281 ;2 ;2022 ;14,1 ;58 ;520 ;0,03 ;118,9 ;17,61 ;1,5 
PARNA do Juruena ;Amazônia ;281 ;3 ;2017 ;14,7 ;62 ;545 ;0,05 ;187 ;24,81 ;1,5 
PARNA do Juruena ;Amazônia ;281 ;3 ;2022 ;14,6 ;62,8 ;532,5 ;0,05 ;191 ;25,16 ;1,5 
PARNA do Monte Roraima ;Amazônia ;174 ;1 ;2019 ;16,3 ;58,3 ;710 ;0,03 ;170,2 ;24,43 ;1,4 
PARNA dos Campos Amazônicos ;Amazônia ;284 ;1 ;2019 ;12,4 ;64,2 ;515 ;0,04 ;155,5 ;22,29 ;1,5 
PARNA Mapinguari ;Amazônia ;1633 ;1 ;2017 ;13,1 ;64,3 ;537,5 ;0,04 ;90,5 ;21,82 ;1,4 
PARNA Mapinguari ;Amazônia ;1633 ;1 ;2022 ;;62,7 ;460 ;0,04 ;70,5 ;17,77 ;1,4 
PARNA Mapinguari ;Amazônia ;1633 ;2 ;2018 ;15,7 ;60,9 ;682,5 ;0,04 ;183,5 ;26,44 ;1,4 
PARNA Mapinguari ;Amazônia ;1633 ;3 ;2018 ;17,1 ;64 ;620 ;0,04 ;183,1 ;26,76 ;1,4 
PARNA Mapinguari ;Amazônia ;1633 ;4 ;2021 ;12,2 ;63,7 ;510 ;0,04 ;147,9 ;21,53 ;1,4 
PARNA Mapinguari ;Amazônia ;1633 ;5 ;2021 ;11,8 ;64,9 ;532,5 ;0,04 ;170,4 ;23,92 ;1,4 
PARNA Mapinguari ;Amazônia ;1633 ;6 ;2021 ;11,3 ;61,2 ;540 ;0,04 ;123,4 ;19,21 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;1 ;2014 ;21,8 ;71,1 ;505 ;0,06 ;224,9 ;28,41 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;1 ;2017 ;17,6 ;72,4 ;487,5 ;0,06 ;224,9 ;28,37 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;1 ;2021 ;20,2 ;76,3 ;372,5 ;0,07 ;199,1 ;24,62 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;2 ;2015 ;21,5 ;83,1 ;510 ;0,12 ;611,8 ;63,65 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;2 ;2017 ;22 ;81 ;510 ;0,11 ;544,7 ;58,22 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;2 ;2021 ;22,4 ;83,4 ;482,5 ;0,12 ;548,1 ;58,17 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;3 ;2017 ;21,5 ;82,3 ;560 ;0,1 ;486 ;55,13 ;1,4 
PARNA Montanhas do Tumucumaque ;Amazônia ;187 ;3 ;2021 ;22,8 ;81,8 ;555 ;0,1 ;464,1 ;52,91 ;1,4 
PARNA Nascentes do Lago Jari ;Amazônia ;1626 ;1 ;2019 ;14,8 ;64,7 ;697,5 ;0,05 ;236,4 ;32,2 ;1,2 
PARNA Nascentes do Lago Jari ;Amazônia ;1626 ;2 ;2019 ;15,3 ;64,7 ;815 ;0,06 ;368,2 ;44,86 ;1,2 
PARNA Nascentes do Lago Jari ;Amazônia ;1626 ;3 ;2019 ;15,4 ;67,6 ;565 ;0,05 ;234,2 ;30,37 ;1,2 
PARNA Serra da Mocidade ;Amazônia ;189 ;2 ;2016 ;15,8 ;55,5 ;722,5 ;0,03 ;148,9 ;21,81 ;1,3 
PARNA Serra da Mocidade ;Amazônia ;189 ;2 ;2021 ;14 ;55,8 ;707,5 ;0,03 ;148 ;21,56 ;1,3 
PARNA Serra do Divisor ;Amazônia ;149 ;1 ;2018 ;34,1 ;63,1 ;577,5 ;0,04 ;182,7 ;24,83 ;1,5 
PARNA Serra do Divisor ;Amazônia ;149 ;2 ;2019 ;16,9 ;67,6 ;647,5 ;0,06 ;329,8 ;40,24 ;1,5 
PARNA Serra do Divisor ;Amazônia ;149 ;2 ;2022 ;16 ;64,7 ;692,5 ;0,06 ;350,4 ;42,01 ;1,5 
PARNA Serra do Divisor ;Amazônia ;149 ;3 ;2020 ;22,7 ;62,5 ;530 ;0,04 ;130,1 ;19,52 ;1,5 
PARNA Serra do Divisor ;Amazônia ;149 ;3 ;2022 ;15,2 ;59,5 ;630 ;0,03 ;140,1 ;21,39 ;1,5 
PARNA Viruá ;Amazônia ;179 ;1 ;2019 ;16,7 ;52,8 ;740 ;0,03 ;122,4 ;18,67 ;0,8 
REBIO do Jarú ;Amazônia ;208 ;1 ;2017 ;15,9 ;64,4 ;507,5 ;0,06 ;231,6 ;28,81 ;1,4 
REBIO do Jarú ;Amazônia ;208 ;1 ;2022 ;15,4 ;65,4 ;532,5 ;0,06 ;261,4 ;32 ;1,5 
REBIO do Jarú ;Amazônia ;208 ;2 ;2017 ;16,8 ;67,9 ;572,5 ;0,05 ;220,6 ;29,77 ;1,4 
REBIO do Jarú ;Amazônia ;208 ;2 ;2022 ;17,1 ;70,1 ;562,5 ;0,06 ;247,6 ;32,78 ;1,5 
REBIO do Jarú ;Amazônia ;208 ;3 ;2017 ;14,4 ;59,5 ;585 ;0,04 ;176 ;23,64 ;1,4 
REBIO do Jarú ;Amazônia ;208 ;3 ;2022 ;14,2 ;58,3 ;647,5 ;0,04 ;179,4 ;24,86 ;1,5 
REBIO do Jarú ;Amazônia ;208 ;4 ;2017 ;15,3 ;65,6 ;535 ;0,05 ;183,5 ;26,31 ;1,4 
REBIO do Jarú ;Amazônia ;208 ;4 ;2022 ;15,6 ;65,8 ;537,5 ;0,05 ;181,8 ;26,45 ;1,5 
REBIO do Tapirapé ;Amazônia ;211 ;1 ;2016 ;10,1 ;56,6 ;502,5 ;0,03 ;114,9 ;16,48 ;1 
REBIO do Tapirapé ;Amazônia ;211 ;1 ;2017 ;11,1 ;56,6 ;500 ;0,03 ;109,2 ;16,01 ;1 
REBIO do Tapirapé ;Amazônia ;211 ;2 ;2017 ;13,6 ;64,3 ;430 ;0,05 ;158,8 ;20,72 ;1 
REBIO do Tapirapé ;Amazônia ;211 ;3 ;2017 ;14,5 ;61,7 ;517,5 ;0,04 ;156,2 ;21,38 ;1 
REBIO do Uatumã ;Amazônia ;213 ;1 ;2014 ;12,8 ;59,2 ;585 ;0,04 ;157,1 ;21,43 ;1,1 
