"tribo"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Ageroniini"	NA	NA	NA	1	0.904	0.743	0.872	1.395	0.612
"Anaeini"	NA	NA	1	0.739	1.065	0.496	1.562	0.94	0.888
"Biblidini"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Brassolini"	1	0.834	1.561	0.508	1.123	0.936	0.977	1.118	0.82
"Callicorini"	NA	NA	NA	NA	NA	NA	NA	1	0.559
"Coeini"	NA	1	1.241	1.818	0.495	0.791	1.091	1.018	0.962
"Epicaliini"	1	0.944	1.278	0.647	0.948	1.029	1.172	1.136	0.737
"Epiphilini"	NA	NA	NA	NA	1	0.833	1.165	1.247	0.76
"Haeterini"	NA	1	1.532	-0.098	1.313	0.596	1.05	1.306	0.354
"Melanitini"	NA	NA	NA	NA	1	0.129	-3.988	7.193	0.319
"Morphini"	NA	1	1.281	0.732	1.261	0.878	1.224	1.096	0.853
"Preponini"	NA	1	1.625	0.629	1.089	0.891	1.428	0.602	1.081
"Satyrini"	1	1.029	1.926	0.57	1.263	0.822	0.533	1.427	0.872
