"tribo"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Ageroniini"	NA	NA	NA	1	0.904	0.647	0.519	0.914	0.526
"Anaeini"	NA	NA	1	0.739	0.803	0.299	0.862	0.801	0.69
"Biblidini"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Borboletas_abertas"	NA	NA	1	1.156	1.206	0.864	0.724	1.61	1.146
"Borboletas_fechadas"	1	0.94	1.442	0.962	1.129	1.04	1.105	1.217	1.044
"Brassolini"	1	0.834	1.395	0.903	1.026	0.962	0.939	1.057	0.877
"Callicorini"	NA	NA	NA	NA	NA	NA	NA	1	0.559
"Coeini"	NA	1	1.241	2.059	1.554	1.346	1.437	1.455	1.417
"Epicaliini"	1	0.944	1.223	0.87	0.818	0.848	1.019	1.155	0.891
"Epiphilini"	NA	NA	NA	NA	1	0.833	0.998	1.245	1.005
"Haeterini"	NA	1	1.532	0.434	0.747	0.343	0.393	0.699	0.053
"Melanitini"	NA	NA	NA	NA	1	0.129	-4.86	1.334	0.653
"Morphini"	NA	1	1.281	1.013	1.274	1.152	1.376	1.472	1.325
"Preponini"	NA	1	1.625	1.253	1.342	1.233	1.661	1.263	1.344
"Satyrini"	1	1.029	1.954	1.524	1.787	1.609	1.142	1.569	1.44
