"tribo"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Ageroniini"	NA	1	1.187	0.41	0.595	1.354
"Anaeini"	NA	1	1.219	0.396	0.771	1.162
"Biblidini"	NA	NA	NA	NA	NA	NA
"Borboletas_abertas"	NA	1	1.187	0.41	0.595	1.384
"Borboletas_fechadas"	NA	1	1.027	NA	NA	NA
"Coeini"	NA	NA	NA	1.075	1.235	0.873
"Epicaliini"	NA	1	1.249	0.616	0.858	0.723
"Epiphilini"	NA	NA	1	-0.457	1.197	1.083
"Haeterini"	NA	NA	NA	NA	NA	NA
"Melanitini"	NA	NA	NA	NA	NA	NA
"Morphini"	NA	1	0.742	0.475	1.498	1.083
"Preponini"	NA	1	0.697	1.122	1.241	0.993
"Satyrini"	1	1.682	0.841	0.827	1.026	1.052
