"tribo"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Ageroniini"	NA	NA	1	0.939	0.872	1.715	-0.242	1.39	0.785
"Anaeini"	NA	NA	NA	1	1.209	1.135	0.882	0.749	1.192
"Biblidini"	NA	NA	NA	NA	NA	NA	NA	NA	1
"Brassolini"	NA	NA	1	1.146	1.023	1.044	1.16	0.691	1.198
"Callicorini"	NA	NA	NA	NA	NA	NA	NA	1	0.674
"Coeini"	NA	NA	NA	1	1.079	1.078	0.773	1	1.228
"Epicaliini"	1	0.727	1.194	1.037	1.091	1.098	0.919	0.9	1.246
"Epiphilini"	NA	NA	NA	1	1.251	0.851	0.943	0.706	1.232
"Haeterini"	NA	NA	NA	NA	NA	1	0.586	1.246	0.601
"Melanitini"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Morphini"	NA	NA	1	1.445	0.966	0.911	1.196	0.734	1.293
"Preponini"	NA	NA	1	0.993	1.127	1.129	1.185	0.65	1.223
"Satyrini"	NA	NA	1	0.994	0.839	1.128	0.534	1.164	1.096
