uc_ea;campanha;inicio;fim;regiao;violou duração de coleta;violou o período indicado;violou o intervalo entre campanhas
Esec_da_Terra_do_Meio_4;2022_1;19/05/2022;23/05/2022;central;;X;
Esec_da_Terra_do_Meio_5;2022_1;19/05/2022;23/05/2022;central;;X;
Esec_da_Terra_do_Meio_6;2022_1;19/05/2022;23/05/2022;central;;X;
Esec_de_Maraca_2;2018_2;18/10/2018;24/10/2018;norte;X;;
Esec_de_Maraca_3;2022_2;28/10/2022;01/11/2022;norte;;X;
Esec_de_Niquia_1;2020_2;31/10/2020;05/11/2020;norte;;X;
Esec_de_Niquia_1;2021_2;04/11/2021;09/11/2021;norte;;X;
Esec_de_Niquia_1;2022_2;03/11/2022;08/11/2022;norte;;X;
Flona_de_Tapajos_1;2022_2;01/09/2022;05/09/2022;central;;X;
Flona_de_Tapajos_2;2022_2;01/09/2022;05/09/2022;central;;X;
Flona_de_Tapajos_3;2022_2;01/09/2022;05/09/2022;central;;X;
Flona_do_Jamari_1;2014_1;16/03/2014;20/03/2014;sudoeste;;X;
Flona_do_Jamari_1;2018_2;10/07/2018;14/07/2018;sudoeste;;X;
Flona_do_Jamari_2;2014_1;21/03/2014;25/03/2014;sudoeste;;X;
Flona_do_Jamari_2;2015_1;29/03/2015;02/04/2015;sudoeste;;X;
Flona_do_Jamari_2;2016_1;08/04/2016;12/04/2016;sudoeste;;X;
Flona_do_Jamari_3;2016_2;11/07/2016;16/07/2016;sudoeste;;X;
Flona_do_Jamari_3;2018_2;20/07/2018;24/07/2018;sudoeste;;X;
Flona_do_Jamari_4;2022_2;11/07/2022;15/07/2022;sudoeste;;X;
Parna_da_Amazonia_1;2018_1;23/05/2018;28/05/2018;central;;X;
Parna_da_Amazonia_1;2018_2;16/06/2018;22/06/2018;central;X;;
Parna_da_Amazonia_1;2020_1;03/10/2020;08/10/2020;central;;X;
Parna_da_Amazonia_1;2020_2;10/10/2020;15/10/2020;central;;X;X
Parna_da_Amazonia_2;2018_1;23/05/2018;28/05/2018;central;;X;
Parna_da_Amazonia_2;2018_2;16/06/2018;22/06/2018;central;X;;
Parna_da_Amazonia_2;2020_1;03/10/2020;08/10/2020;central;;X;
Parna_da_Amazonia_2;2020_2;10/10/2020;15/10/2020;central;;X;X
Parna_da_Amazonia_3;2018_1;23/05/2018;28/05/2018;central;;X;
Parna_da_Amazonia_3;2018_2;16/06/2018;22/06/2018;central;X;;
Parna_da_Amazonia_3;2020_1;03/10/2020;08/10/2020;central;;X;
Parna_da_Amazonia_3;2020_2;10/10/2020;15/10/2020;central;;X;X
Parna_da_Serra_da_Cutia_1;2017_2;13/07/2017;17/07/2017;sudoeste;;X;
Parna_da_Serra_da_Cutia_1;2020_2;17/07/2020;21/07/2020;sudoeste;;X;
Parna_da_Serra_da_Cutia_1;2021_2;30/06/2021;04/07/2021;sudoeste;;X;
Parna_da_Serra_da_Cutia_2;2020_2;16/07/2020;20/07/2020;sudoeste;;X;
Parna_da_Serra_da_Cutia_2;2021_1;09/07/2021;13/07/2021;sudoeste;;X;
Parna_da_Serra_da_Cutia_2;2021_2;13/08/2021;17/08/2021;sudoeste;;X;
Parna_da_Serra_da_Cutia_3;2020_2;16/07/2020;20/07/2020;sudoeste;;X;
Parna_da_Serra_da_Cutia_3;2021_1;09/07/2021;13/07/2021;sudoeste;;X;
Parna_da_Serra_da_Cutia_3;2021_2;13/08/2021;17/08/2021;sudoeste;;X;
Parna_da_Serra_Mocidade_1;2021_2;28/10/2021;02/11/2021;norte;;X;
Parna_da_Serra_do_Divisor_1;2018_2;02/07/2018;07/07/2018;sudoeste;;X;
Parna_da_Serra_do_Divisor_1;2021_2;07/07/2021;11/07/2021;sudoeste;;X;
Parna_da_Serra_do_Divisor_2;2021_2;07/07/2021;11/07/2021;sudoeste;;X;
Parna_da_Serra_do_Divisor_3;2021_2;07/07/2021;11/07/2021;sudoeste;;X;
Parna_de_Pacaas_Novos_1;2019_2;06/06/2019;08/06/2019;sudoeste;X;;
Parna_de_Pacaas_Novos_1;2021_1;07/04/2021;11/04/2021;sudoeste;;X;
Parna_de_Pacaas_Novos_2;2021_1;06/04/2021;10/04/2021;sudoeste;;X;
Parna_de_Pacaas_Novos_3;2021_1;07/04/2021;11/04/2021;sudoeste;;X;
Parna_do_Cabo_Orange_1;2016_1;19/05/2016;23/05/2016;leste;;X;
Parna_do_Cabo_Orange_1;2016_2;24/06/2016;28/06/2016;leste;;X;
Parna_do_Cabo_Orange_1;2017_1;10/05/2017;14/05/2017;leste;;X;
Parna_do_Cabo_Orange_1;2017_2;14/06/2017;18/06/2017;leste;;X;
Parna_do_Cabo_Orange_1;2018_1;28/06/2018;02/07/2018;leste;;X;
Parna_do_Cabo_Orange_1;2021_1;07/07/2021;14/07/2021;leste;X;;
Parna_do_Cabo_Orange_2;2016_1;27/05/2016;31/05/2016;leste;;X;
Parna_do_Cabo_Orange_2;2017_1;17/05/2017;21/05/2017;leste;;X;
Parna_do_Cabo_Orange_2;2017_2;21/06/2017;25/06/2017;leste;;X;
