Unidade de Conservação ;CNUC;Bioma ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
ESEC de Pirapitinga ;61 ;Cerrado ;;;;;;;;;P B M 
ESEC Serra Geral do Tocantins ;76 ;Cerrado ;M ;P M ;;;P ;;;;
PARNA da Chapada dos Veadeiros ;139 ;Cerrado ;P B M ;M ;B ;B ;P ;;;;
PARNA da Serra da Bodoquena ;143 ;Cerrado ;P B M ;P B M ;B M ;B M ;B M ;P B M ;;;M 
PARNA da Serra do Cipó ;148 ;Cerrado ;P M ;;M ;B M ;P B M ;;;B ;B 
PARNA de Brasília ;159 ;Cerrado ;P ;;;B ;P B ;B ;;;
PARNA da Serra da Bocaina ;142 ;Mata Atlântica ;P M ;B M ;B M ;;;;;;
PARNA da Serra dos Órgãos ;152 ;Mata Atlântica ;P M ;M ;P B M ;B M ;;P B M ;;;
PARNA do Iguaçu ;172 ;Mata Atlântica ;;;B M ;B M ;B ;B M ;;B M ;B M 
PARNA do Superagui ;178 ;Mata Atlântica ;M ;M ;P B M ;P B ;P B M ;P B ;;;B 
REBIO de Una ;202 ;Mata Atlântica ;M ;;;;;;;;B M 
REBIO Guaribas ;196 ;Mata Atlântica ;;;B M ;;;;;;
ESEC da Terra do Meio ;47 ;Amazônia ;M ;;P M ;B M ;M ;;;;B 
ESEC de Maracá ;57 ;Amazônia ;;;;P ;B M ;P B M ;;;B M 
ESEC do Jari ;67 ;Amazônia ;;;;;;;;;P B M 
ESEC Niquiá ;60 ;Amazônia ;;;P ;B M ;B M ;B M ;B M ;P B M ;B M 
ESEC Rio Acre ;68 ;Amazônia ;;;;;;;;M ;B M 
FLONA do Jamari ;118 ;Amazônia ;P B M ;B M ;B M ;P B M ;B M ;M ;M ;M ;B M 
FLONA do Tapajós ;123 ;Amazônia ;;;;;;;;;B M 
PARNA Campos Amazônicos ;284 ;Amazônia ;;;;;;P M ;;B M ;B M 
PARNA da Amazônia ;136 ;Amazônia ;;;;M ;P B M ;B M ;B M ;B M ;B M 
PARNA da Serra do Divisor ;149 ;Amazônia ;;;;;P B M ;P B M ;P M ;B M ;P B M 
PARNA da Serra do Pardo ;151 ;Amazônia ;;;M ;M ;M ;M ;;;P 
PARNA de Pacaás Novos ;163 ;Amazônia ;;;;;;P B ;B M ;B M ;M 
PARNA do Cabo Orange ;169 ;Amazônia ;;;B M ;P B M ;B M ;B M ;M ;B M ;B M 
PARNA do Jaú ;173 ;Amazônia ;P ;B M ;B M ;P B M ;B M ;B M ;;B M ;P B M 
PARNA do Juruena ;281 ;Amazônia ;;;M ;P B M ;B M ;B M ;M ;;P M 
PARNA do Monte Roraima ;174 ;Amazônia ;;;;;;P B M ;;B M ;B M 
PARNA Nascentes do Lago Jari ;1626 ;Amazônia ;;;;;;P M ;;;B M 
PARNA do Viruá ;179 ;Amazônia ;;;;;B M ;P B M ;B M ;B ;B M 
PARNA Mapinguari ;1633 ;Amazônia ;;;;P M ;P B M ;B M ;B M ;P B M ;P B M 
PARNA Montanhas do Tumucumaque ;187 ;Amazônia ;P M ;P M ;P B M ;B M ;B M ;B M ;;P B M ;B M 
PARNA Serra da Cutia ;188 ;Amazônia ;;;P ;B M ;B M ;B M ;B M ;B M ;B M 
PARNA Serra da Mocidade ;189 ;Amazônia ;;;P ;B M ;B M ;B M ;B M ;P B M ;B M 
REBIO do Gurupi ;207 ;Amazônia ;;M ;P B M ;P B M ;B M ;B M ;;B M ;B 
REBIO do Jaru ;208 ;Amazônia ;;;B M ;P B M ;B M ;B M ;B M ;B M ;P B M 
REBIO do Tapirapé ;´211 ;Amazônia ;;;P B M ;P B M ;B M ;B M ;;B M ;B M 
REBIO do Uatumã ;213 ;Amazônia ;P B M ;B M ;B M ;P B M ;B M ;B M ;B M ;B M ;
RESEX Arapixi ;285 ;Amazônia ;;;;;;P B M ;M ;B M ;B M 
RESEX Barreiro das Antas ;221 ;Amazônia ;;;;P M ;P B M ;B M ;B M ;B M ;B M 
RESEX Chico Mendes ;222 ;Amazônia ;;;;;B M ;B M ;;;
RESEX do Alto Tarauacá ;274 ;Amazônia ;;;;B M ;P B M ;B M ;M ;B M ;B M 
RESEX do Cazumbá-Iracema ;232 ;Amazônia ;P M ;M ;B M ;P B M ;B M ;P B M ;M ;B M ;B M 
RESEX do Lago do Capanã Grande ;242 ;Amazônia ;;;;;;;;B M ;B M 
RESEX do Rio Cautário ;238 ;Amazônia ;;;;;;B M ;;B M ;B M 
RESEX Ipaú-Anilzinho ;241 ;Amazônia ;;;;;;P B M ;B M ;B M ;B M 
;;;;;;;;;;;
RESEX Renascer ;1810 ;Amazônia ;;;;;P B M ;B ;M ;B M ;
RESEX Rio Iriri ;280 ;Amazônia ;;;;;;;;;M 
RESEX Rio Ouro Preto ;256 ;Amazônia ;;;;P B M ;B M ;B M ;M ;B M ;B M 
RESEX Riozinho da Liberdade ;257 ;Amazônia ;;;;;;;P B M ;B M ;P B M 
;;;;;;;;;;;
RESEX Riozinho do Anfrízio ;258 ;Amazônia ;;;M ;M ;M ;B M ;;;B M 
RESEX Tapajós-Arapiuns ;259 ;Amazônia ;M ;B M ;B M ;B M ;P B M ;B M ;M ;B M ;B M 
REBIO do Rio Trombetas ;210 ;Amazônia ;;;;;;M ;;;
;;;;;;;;;;;
RESEX Verde Para Sempre ;260 ;Amazônia ;;;;;;;;;P B M 
