ordem;familia;taxon_validado;nome_comum;categoria
Carnivora ;Canidae ;Atelocynus microtis;cachorro-do-mato-de-orelhas-curtas ;VU
Carnivora ;Canidae ;Cerdocyon thous ;cachorro do mato, fusquinho, graxaim, graxaim do mato, guancito, guaraxaim, guaraxo, lobete, lobinho, mata-virgem, rabo-fofo, raposa, raposão, raposinha-do-mato ;
Carnivora ;Canidae ;Chrysocyon brachyurus;guará, lobão, lobo, lobo-de-crina, lobo-de-juba, lobo-guará, lobo-vermelho ;VU
Carnivora ;Canidae ;Speothos venaticus;cachorro-do-mato-vinagre, cachorro-vinagre ;VU
Carnivora ;Felidae ;Herpailurus yagouaroundi;gato-azul, gato-mourisco, gato-vermelho, jaguarundi ;VU
Carnivora ;Felidae ;Leopardus pardalis ;canguçu, gato-do-mato-grande, jaguatirica, maracajá, meia-malha, oncinha ;
Carnivora ;Felidae ;Leopardus sp. ;gatos-do-mato ;
Carnivora ;Felidae ;Leopardus tigrinus;gato-do-mato, gato-maracajá, gato-maracajá-mirim, pintadinho ;EN
Carnivora ;Felidae ;Leopardus wiedii;gato-do-mato, gato-maracajá, gato-peludo, maracajá-peludo ;VU
Carnivora ;Felidae ;Panthera onca;canguçu, onça-pintada, onça-preta ;VU
Carnivora ;Felidae ;Puma concolor ;bodeira, leão-baio, leãozinho-da-cara-suja, onça-do-lombo-preto, onça-parda, onça-vermelha, suçuarana ;
Carnivora ;Mustelidae ;Eira barbara ;irara, papa-mel ;
Carnivora ;Mustelidae ;Galictis vittata ;furão grande, furão maior ;
Carnivora ;Mustelidae ;Lontra longicaudis ;lobinho-de-rio, lontra, lontra neotropical, lontrinha ;
Carnivora ;Mustelidae ;Pteronura brasiliensis;ariranha, lontra gigante, onça-d’água ;VU
Carnivora ;Procyonidae ;Nasua nasua ;coati, quati, quati-de-vara, quati-mundéo ;
Carnivora ;Procyonidae ;Procyon cancrivorus ;cachorrinho-guaxinim, cachorro-do-mato-guaxinim, cangrejera, guará, guaxinim, jaracambeva, mão-pelada, mapache, lavador, mayuato, meia-noite ;
Cetartiodactyla ;Cervidae ;Mazama americana ;guassu-pará, guatapará, suaçupita, veado-capoeiro, veado-mateiro, veado-pardo, veado-retovado, veado-vermelho ;DD
Cetartiodactyla ;Cervidae ;Mazama gouazoubira ;corça, veado-catingueiro ;
Cetartiodactyla ;Cervidae ;Mazama nemorivaga ;fuboca, veado-branco, veado-da-amazônia, veado-roxo ;DD
Cetartiodactyla ;Cervidae ;Mazama sp. ;cervos;
Cetartiodactyla ;Cervidae ;Ozotocerus bezoarticus ;veado-branco, veado-campeiro, veado-galheiro ;
Cetartiodactyla ;Tayassuidae ;Pecari tajacu ;caititu, cateto ;
Cetartiodactyla ;Tayassuidae ;Tayassu pecari;queixada ;VU
Cingulata ;Dasypodidae ;Cabassous unicinctus ;cabassú (variação de capacou - tatu em galibi - grupo indígena da guiana francesa), tatu-de-rabo-mole, tatu-de-rabo-mole-pequeno, tatu-rabo-de-couro ;
Cingulata ;Dasypodidae ;Dasypus kappleri ;tatu-açu, tatu-canastra, tatu-quinze-quilos, tatu-tinga, tatu-verdadeiro ;
Cingulata ;Dasypodidae ;Dasypus novemcinctus ;tatu-asa-branca, tatuetê, tatu-folha, tatu-galinha, tatu-nove-bandas, tatu-veado, tatu-verdadeiro ;
Cingulata ;Dasypodidae ;Dasypus sp. ;tatus;
Cingulata ;Dasypodidae ;Priodontes maximus;tatu-açú, tatu-canastra ;VU
Didelphimorphia ;Didelphidae ;Didelphis albiventris ;gambá-de-orelha-branca, mucura, saruê ;
Didelphimorphia ;Didelphidae ;Didelphis aurita ;gambá, gambá-de-orelha-preta ;
Didelphimorphia ;Didelphidae ;Didelphis marsupialis ;gambá-de-orelha-preta, mucura ;
Didelphimorphia ;Didelphidae ;Didelphis sp. ;gambás;
Lagomorpha ;Leporidae ;Sylvilagus brasiliensis ;coelho ;
Perissodactyla ;Tapiridae ;Tapirus terrestris;anta;VU
Pilosa ;Bradypodidae ;Bradypus sp. ;preguiças;
Pilosa ;Bradypodidae ;Bradypus tridactylus ;preguiça-de-bentinho, preguiça-de-garganta-amarela, preguiça-de-três-dedos ;
Pilosa ;Bradypodidae ;Bradypus variegatus ;preguiça-comum, preguiça-de-bentinho, preguiça-de-óculos, preguiça-marmota ;
Pilosa ;Cyclopedidae ;Cyclopes didactylus ;tamanduá-cigarra, tamanduá-i, tamanduaí, tamanduá-seda ;
Pilosa ;Megalonychidae ;Choloepus didactylus ;preguiça-real, unau ;
Pilosa ;Myrmecophagidae ;Myrmecophaga tridactyla;bandeira, bandurra, jurumi, jurumim, papa-formigas, tamanduá-açú, tamanduá-bandeira ;VU
Pilosa ;Myrmecophagidae ;Tamandua tetradactyla ;lapichau, mambira, meleta, tamanduá-de-colete, tamanduá-mirim ;
Primates ;Aotidae ;Aotus infulatus ;macaco-da-noite, macaco-da-noite-de-pescoço-vermelho ;
Primates ;Aotidae ;Aotus nigriceps ;macaco-da-noite, macaco-da-noite-de-pescoço-vermelho, quatro-olhos ;
Primates ;Aotidae ;Aotus trivirgatus ;macaco-da-noite, macaco-da-noite-de-pescoço-cinza ;
Primates ;Atelidae ;Alouatta belzebul;bugio, guariba, guariba-de-mãos-ruivas, guariba-de-mãos-vermelhas ;VU
Primates ;Atelidae ;Alouatta caraya ;barbado, bugio-preto, guariba-preto ;
Primates ;Atelidae ;Alouatta discolor;guariba-de-mãos-ruivas, guariba-de-mãos-vermelhas ;VU
Primates ;Atelidae ;Alouatta guariba clamitans;barbado, bugio, bugio-ruivo, guariba ;VU
Primates ;Atelidae ;Alouatta juara ;;
Primates ;Atelidae ;Alouatta macconnelli ;guariba, guariba-vermelha ;
Primates ;Atelidae ;Alouatta nigerrima ;guariba-de-mãos-ruivas, guariba-preta ;
Primates ;Atelidae ;Alouatta puruensis ;;
Primates ;Atelidae ;Alouatta sp. ;bugios, guaribas;
Primates ;Atelidae ;Ateles belzebuth;coatá, macaco-aranha ;VU
Primates ;Atelidae ;Ateles chamek;coatá, coatá-preto, macaco-aranha, macaco-aranha-da-cara-preta ;VU
Primates ;Atelidae ;Ateles marginatus;coatá-da-testa-branca, cuamba, guatá, macaco-aranha ;EN
Primates ;Atelidae ;Ateles paniscus ;coatá, macaco-aranha ;
Primates ;Atelidae ;Brachyteles arachnoides;buriqui, buriquim, mariquina, mono, mono-carvoeiro, muriqui-do-sul, muriquina, muriquinina ;EN
Primates ;Atelidae ;Lagothrix lagothricha cana;macaco-barrigudo ;EN
Primates ;Atelidae ;Lagothrix lagothricha poeppigii;macaco-barrigudo ;VU
Primates ;Callitrichidae ;Callimico goeldii ;calimico, macaco-de-goeldi, mico-preto, sagui-de-goeldi, soim-preto, taboqueiro ;
Primates ;Callitrichidae ;Callithrix aurita;sagui-caveirinha, sagui-da-serra-escuro ;EN
Primates ;Callitrichidae ;Callithrix jacchus ;mico, mico-estrela, nico, sagui, sagui-comum, sagui-de-tufo-branco, sagui-do-nordeste ;
Primates ;Callitrichidae ;Callithrix penicillata ;mico-estrela, sagui-de-tufos-pretos ;
Primates ;Callitrichidae ;Callithrix sp. ;micos;
Primates ;Callitrichidae ;Cebuella pygmaea ;mico-leãozinho, sagui-leãozinho, sagui-pigmeu ;
Primates ;Callitrichidae ;Leontopithecus chrysomelas;mico-leão-da-cara-dourada ;EN
Primates ;Callitrichidae ;Mico argentatus ;sagui-argênteo ;
Primates ;Callitrichidae ;Mico emiliae ;sagui-de-snethlage ;
Primates ;Callitrichidae ;Mico humeralifer ;sagui-de-tufos ;
