unidade_conservacao	%_mutunsÿ
PARNA de Paca s Novosÿ	25,4ÿ
ESEC da Terra do Meioÿ	24,7ÿ
ESEC de Marac ÿ	23,8ÿ
ESEC do Rio Acreÿ	20,5ÿ
PARNA Serra da Mocidadeÿ	20,2ÿ
ESEC do Jariÿ	17,9ÿ
REBIO do UatumÆÿ	17,6ÿ
PARNA dos Campos Amaz“nicosÿ	17,6ÿ
PARNA do Juruenaÿ	16,8ÿ
PARNA Mapinguariÿ	16,3ÿ
PARNA do Viru ÿ	15,9ÿ
REBIO do Jaruÿ	15,1ÿ
PARNA da Serra do Pardoÿ	15,0ÿ
FLONA do Jamariÿ	14,6ÿ
REBIO do Tapirap‚ÿ	13,8ÿ
REBIO Trombetasÿ	12,2ÿ
ESEC de Niqui ÿ	11,6ÿ
RESEX Riozinho do Anfr¡sioÿ	10,9ÿ
PARNA da Amaz“niaÿ	10,3ÿ
RESEX Verde Para Sempreÿ	9,5ÿ
PARNA Nascentes do Lago Jariÿ	9,1ÿ
RESEX Rio Ouro Pretoÿ	8,7ÿ
RESEX Renascerÿ	7,0ÿ
PARNA Montanhas do Tumucumaqueÿ	6,6ÿ
PARNA do Cabo Orangeÿ	6,4ÿ
RESEX Tapaj¢s-Arapiunsÿ	6,3ÿ
RESEX Ipa£-Anilzinhoÿ	5,6ÿ
PARNA do Monte Roraimaÿ	5,2ÿ
RESEX do Rio Caut rioÿ	5,0ÿ
PARNA da Serra do Divisorÿ	4,5ÿ
RESEX do Lago do CapanÆ Grandeÿ	3,7ÿ
FLONA do Tapaj¢sÿ	3,2ÿ
REBIO Gurupiÿ	2,4ÿ
PARNA do Ja£ÿ	2,3ÿ
RESEX Arapixiÿ	2,2ÿ
PARNA da Serra da Cutiaÿ	1,2ÿ
RESEX Chico Mendesÿ	0,8ÿ
RESEX Barreiro das Antasÿ	0,7ÿ
RESEX do Cazumb -Iracemaÿ	0,3ÿ
RESEX Alto Tarauac ÿ	0,0ÿ
RESEX Riozinho da Liberdadeÿ	0,0ÿ
