ordem ;familia;taxon_validado;categoria
Cariamiformes ;Cariamidae ;Cariama cristata ;
Galliformes ;Cracidae ;Aburria cujubi;VU
Galliformes ;Cracidae ;Aburria cumanensis ;
Galliformes ;Cracidae ;Aburria sp.;
Galliformes ;Cracidae ;Cracidae;
Galliformes ;Cracidae ;Crax alector ;
Galliformes ;Cracidae ;Crax fasciolata ;
Galliformes ;Cracidae ;Crax globulosa;EN
Galliformes ;Cracidae ;Crax sp.;
Galliformes ;Cracidae ;Nothocrax urumutum ;
Galliformes ;Cracidae ;Ortalis guttata ;
Galliformes ;Cracidae ;Ortalis motmot ;
Galliformes ;Cracidae ;Ortalis ruficeps ;
Galliformes ;Cracidae ;Ortalis superciliaris ;
Galliformes ;Cracidae ;Pauxi tomentosa ;
Galliformes ;Cracidae ;Pauxi tuberosa ;
Galliformes ;Cracidae ;Pauxi sp.;
Galliformes ;Cracidae ;Penelope jacquacu ;
Galliformes ;Cracidae ;Penelope marail ;
Galliformes ;Cracidae ;Penelope obscura ;
Galliformes ;Cracidae ;Penelope superciliaris alagoensis;CR
Galliformes ;Cracidae ;Penelope sp.;
Galliformes ;Odontophoridae ;Odontophorus capueira ;
Galliformes ;Odontophoridae ;Odontophorus gujanensis ;
Galliformes ;Odontophoridae ;Odontophorus stellatus ;
Galliformes ;Odontophoridae ;Odontophorus sp.;
Gruiformes ;Psophiidae ;Psophia crepitans ;
Gruiformes ;Psophiidae ;Psophia dextralis;VU
Gruiformes ;Psophiidae ;Psophia interjecta;EN
Gruiformes ;Psophiidae ;Psophia leucoptera ;
Gruiformes ;Psophiidae ;Psophia obscura;CR
Gruiformes ;Psophiidae ;Psophia ochroptera ;
Gruiformes ;Psophiidae ;Psophia viridis;VU
Tinamiformes ;Tinamidae ;Crypturellus sp.;
Tinamiformes ;Tinamidae ;Nothura sp.;
Tinamiformes ;Tinamidae ;Rhynchotus rufescens ;
Tinamiformes ;Tinamidae ;Tinamidae;
Tinamiformes ;Tinamidae ;Tinamus major ;
Tinamiformes ;Tinamidae ;Tinamus solitarius ;
Tinamiformes ;Tinamidae ;Tinamus sp.;
