Taxon;UC;Tendencia
Callicebus brunneus;PARNA da Serra da Cutia;↓
Crypturellus spp.;PARNA da Serra do Divisor;↓
Dasyprocta fuliginosa;PARNA da Serra do Divisor;↓
Mico melanurus;PARNA do Juruena;↓
Tinamus spp.;PARNA do Juruena;↑ 
Penelope jacquacu;PARNA do Mapinguari;↓
Pithecia irrorata;PARNA do Mapinguari;↓
Myoprocta pratti;RESEX Alto Tarauacá;↑
Tinamus spp.;RESEX Barreiro das Antas;↓
Tinamus spp.;RESEX do Cazumbá-Iracema;↓
Urosciurus spadiceus;RESEX do Cazumbá-Iracema;↓ 
Crypturellu spp.;RESEX Rio Ouro Preto;↓
Sapajus apella;RESEX Rio Ouro Preto;↓
