unidade_conservacao;%_mutuns 
PARNA de Pacaás Novos ;25,4 
ESEC da Terra do Meio ;24,7 
ESEC de Maracá ;23,8 
ESEC do Rio Acre ;20,5 
PARNA Serra da Mocidade ;20,2 
ESEC do Jari ;17,9 
REBIO do Uatumã ;17,6 
PARNA dos Campos Amazônicos ;17,6 
PARNA do Juruena ;16,8 
PARNA Mapinguari ;16,3 
PARNA do Viruá ;15,9 
REBIO do Jaru ;15,1 
PARNA da Serra do Pardo ;15,0 
FLONA do Jamari ;14,6 
REBIO do Tapirapé ;13,8 
REBIO Trombetas ;12,2 
ESEC de Niquiá ;11,6 
RESEX Riozinho do Anfrísio ;10,9 
PARNA da Amazônia ;10,3 
RESEX Verde Para Sempre ;9,5 
PARNA Nascentes do Lago Jari ;9,1 
RESEX Rio Ouro Preto ;8,7 
RESEX Renascer ;7,0 
PARNA Montanhas do Tumucumaque ;6,6 
PARNA do Cabo Orange ;6,4 
RESEX Tapajós-Arapiuns ;6,3 
RESEX Ipaú-Anilzinho ;5,6 
PARNA do Monte Roraima ;5,2 
RESEX do Rio Cautário ;5,0 
PARNA da Serra do Divisor ;4,5 
RESEX do Lago do Capanã Grande ;3,7 
FLONA do Tapajós ;3,2 
REBIO Gurupi ;2,4 
PARNA do Jaú ;2,3 
RESEX Arapixi ;2,2 
PARNA da Serra da Cutia ;1,2 
RESEX Chico Mendes ;0,8 
RESEX Barreiro das Antas ;0,7 
RESEX do Cazumbá-Iracema ;0,3 
RESEX Alto Tarauacá ;0,0 
RESEX Riozinho da Liberdade ;0,0 
