Ordem ;Família ;Táxon 
Didelphimorphia (01) ;Didelphidae (01) ;Didelphis marsupialis 
Pilosa (05) ;Bradypodidae (01) ;Bradypus variegatus 
;Megalonychidae (01) ;Choloepus didactylus 
;Myrmecophagidae (03) ;Myrmecophaga tridactyla (VU) 
;;Tamandua tetradactyla 
;;Cyclopes didactylus* 
Cingulata (04) ;Dasypodidae (04) ;Cabassous unicinctus 
;;Dasypus novemcinctus 
;;Dasypus kappleri* 
;;Priodontes maximus (VU) 
Primates (64) ;Callitrichidae (14) ;Callimico goeldii 
;;Callithrix aurita (EN) 
;;Callithrix jacchus 
;;Callithrix penicillata 
;;Cebuella pygmaea* 
;;Mico argentatus 
;;Mico emiliae 
;;Mico humeralifer 
;;Mico melanurus 
;;Mico rondoni (VU) 
;;Saguinus imperator 
;;Saguinus midas 
;;Saguinus niger (VU) 
;;Saguinus weddelli 
;Aotidae (2) ;Aotus nigriceps 
;;Aotus infulatus* 
;Cebidae (14) ;Cebus albifrons 
;;Cebus kaapori* (CR) 
;;Cebus olivaceus 
;;Cebus unicolor 
;;Saimiri boliviensis 
;;Saimiri cassiquiarensis 
;;Saimiri collinsi 
;;Saimiri macrodon* 
;;Saimiri sciureus 
;;Saimiri ustus 
;;Sapajus apella 
;;Sapajus cay (VU) 
;;Sapajus macrocephalus 
;;Sapajus nigritus 
;Pitheciidae (19) ;Cacajao melanocephalus 
;;Callicebus baptista* 
;;Callicebus bernhardi 
;;Callicebus brunneus 
;;Callicebus cinerascens 
;;Callicebus cupreus 
;;Callicebus dubius* 
;;Callicebus hoffmannsi 
;;Callicebus lugens* 
;;Callicebus moloch 
;;Callicebus vieirai (DD) 
;;Chiropotes albinasus 
;;Chiropotes chiropotes* 
;;Chiropotes sagulatus 
;;Chiropotes satanas (CR) 
;;Chiropotes utahickae* 
;;Pithecia irrorata (DD) 
;;Pithecia monachus* 
;;Pithecia pithecia 
;Atelidae (15) ;Alouatta belzebul (VU) 
;;Alouatta caraya 
;;Alouatta discolor (VU) 
;;Alouatta guariba clamitans 
;;(VU) 
;;Alouatta juara 
;;Alouatta macconnelli 
;;Alouatta nigerrima 
;;Alouatta puruensis 
;;Ateles belzebuth* (VU) 
;;Ateles chamek (VU) 
;;Ateles marginatus (EN) 
;;Ateles paniscus 
;;Brachyteles arachnoides (EN) 
;;Lagothrix cana cana (EN) 
;;Lagothrix poeppigii* (VU) 
Carnivora (14) ;Canidae (3) ;Atelocynus microtis* (VU) 
;;Canis familiaris 
;;Cerdocyon thous* 
;Felidae (6) ;Leopardus pardalis 
;;Leopardus tigrinus (EN) 
;;Leopardus wiedii (VU) 
;;Panthera onca (VU) 
;;Puma concolor (VU) 
;;Puma yagouaroundi (VU) 
;Mustelidae (4) ;Eira barbara 
;;Galictis vittata 
;;Lontra longicaudis 
;;Pteronura brasiliensis* (VU) 
;Procyonidae (1) ;Nasua nasua 
Artiodactyla (06) ;Cervidae (4) ;Mazama americana (DD) 
;;Mazama gouazoubira 
;;Mazama nemorivaga (DD) 
;;Ozotocerus bezoarticus* (VU) 
;Tayassuidae (2) ;Pecari tajacu 
;;Tayassu pecari (VU) 
Perissodactyla (01) ;Tapiridae (1) ;Tapirus terrestris (VU) 
Rodentia (20) ;Erethizontidae (2) ;Coendou bicolor* 
;;Coendou prehensilis* 
;Cuniculidae (1) ;Cuniculus paca 
;Caviidae (1) ;Hydrochoeris hydrochaeris* 
;Dasyproctidae (8) ;Dasyprocta azarae 
;;Dasyprocta croconota 
;;Dasyprocta fuliginosa 
;;Dasyprocta iacki 
;;Dasyprocta leporina 
;;Dasyprocta prymnolopha 
;;Myoprocta acouchy 
;;Myoprocta pratti 
;Sciuridae (8) ;Guerlinguetus aestuans 
;;Guerlinguetus gilvigularis* 
;;Guerlinguetus ignitus 
;;Guerlinguetus ingrami 
;;Microsciurus flaviventer 
;;Sciurillus pusillus 
;;Urosciurus igniventris 
;;Urosciurus spadiceus 
Lagomorpha (01) ;Leporidae (1) ;Sylvilagus brasiliensis* 
