tribo,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ageroniini,1,0.857,0.99,0.866,1.024,1.176,0.862,0.983,1.223
Anaeini,1,0.976,0.479,1.238,0.944,1.425,0.659,1.018,1.123
Brassolini,1,1.199,0.519,1.857,0.863,1.095,1.016,0.856,1.216
Coeini,1,0.877,0.9,0.422,1.841,1.165,0.933,0.952,1.044
Epicaliini,1,1.05,0.822,1.351,1.013,0.965,0.896,0.859,1.255
Haeterini,1,0.811,0.77,1.751,0.881,1.163,0.988,0.861,1.313
Melanitini,1,1.108,1.229,1.261,0.649,1.376,-,0.598,1.378
Morphini,1,0.872,0.827,1.095,0.873,1.161,0.841,0.877,1.119
Preponini,1,1.011,0.657,1.326,0.935,1.06,0.724,1.353,0.901
Satyrini,1,0.971,0.119,3.964,0.556,1.668,1.812,0.572,1.219
Callicorini,-,1,0.84,1.413,0.649,1.321,1.031,0.478,1.317
Epiphilini,-,1,0.748,1.034,0.931,1.058,0.918,0.901,1.117
Biblidini,-,-,1,-,1.158,1.011,-,0.646,-
