tribo,2015,2016,2017,2018,2019,2021,2022
Brassolini,1,1.463,0.855,1.401,0.856,1.414,1.019
Epiphilini,1,0.83,-,0.947,-,1.105,-
Satyrini,1,0.531,1.583,0.302,3.253,0.769,2.014
Ageroniini,-,1,2.766,0.339,2.49,0.554,1.84
Anaeini,-,1,9.24,0.251,4.01,0.608,1.557
Biblidini,-,1,2.092,0.876,1.445,-,0.906
Coeini,-,1,3.434,0.371,2.223,0.519,1.859
Epicaliini,-,1,2.856,0.321,2.569,0.336,3.151
Melanitini,-,1,1.335,0.529,1.761,-,-
Morphini,-,1,1.875,0.677,1.351,0.938,1.283
Preponini,-,1,1.805,0.829,1.09,0.856,-
Callicorini,-,-,-,1,-,-,-
