tribo,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ageroniini,1,0.882,0.703,1.051,0.945,0.69,2.221,0.85,1.134
Anaeini,1,1.097,0.494,1.749,0.876,1.065,0.935,1.137,0.962
Biblidini,1,0.528,1.385,1.193,1.247,1.065,-,1.133,1.025
Brassolini,1,1.003,0.719,1.363,0.963,0.968,0.873,1.133,1.018
Callicorini,1,0.978,1.02,1.009,0.92,1.212,1.15,0.607,0.996
Coeini,1,1.271,0.811,0.774,1.412,1.02,1.106,0.973,0.97
Epicaliini,1,0.974,0.864,1.187,0.977,0.967,1.026,0.986,0.986
Epiphilini,1,0.698,0.985,1.004,0.872,1.042,1.05,1.098,0.96
Haeterini,1,0.764,0.884,1.499,0.937,1.059,1.06,0.883,1.172
Melanitini,1,1.115,0.981,1.335,0.757,1.358,-,0.752,1.235
Morphini,1,0.859,0.725,1.055,0.961,1.096,0.869,1.064,0.968
Preponini,1,1.255,0.754,1.217,0.95,1.022,0.789,1.261,0.943
Satyrini,1,0.876,0.208,1.789,1.07,0.912,2.315,0.694,0.944
