ordem;familia;taxon_validado;categoria
Carnivora ;Canidae ;Atelocynus microtis;VU
Carnivora ;Canidae ;Cerdocyon thous ;
Carnivora ;Canidae ;Chrysocyon brachyurus;VU
Carnivora ;Canidae ;Speothos venaticus;VU
Carnivora ;Felidae ;Herpailurus yagouaroundi;VU
Carnivora ;Felidae ;Leopardus pardalis ;
Carnivora ;Felidae ;Leopardus sp. ;
Carnivora ;Felidae ;Leopardus tigrinus;EN
Carnivora ;Felidae ;Leopardus wiedii;VU
Carnivora ;Felidae ;Panthera onca;VU
Carnivora ;Felidae ;Puma concolor ;
Carnivora ;Mustelidae ;Eira barbara ;
Carnivora ;Mustelidae ;Galictis vittata ;
Carnivora ;Mustelidae ;Lontra longicaudis ;
Carnivora ;Mustelidae ;Pteronura brasiliensis;VU
Carnivora ;Procyonidae ;Nasua nasua ;
Carnivora ;Procyonidae ;Procyon cancrivorus ;
Cetartiodactyla ;Cervidae ;Mazama americana ;DD
Cetartiodactyla ;Cervidae ;Mazama gouazoubira ;
Cetartiodactyla ;Cervidae ;Mazama nemorivaga ;DD
Cetartiodactyla ;Cervidae ;Mazama sp. ;
Cetartiodactyla ;Cervidae ;Ozotocerus bezoarticus ;
Cetartiodactyla ;Tayassuidae ;Pecari tajacu ;
Cetartiodactyla ;Tayassuidae ;Tayassu pecari;VU
Cingulata ;Dasypodidae ;Cabassous unicinctus ;
Cingulata ;Dasypodidae ;Dasypus kappleri ;
Cingulata ;Dasypodidae ;Dasypus novemcinctus ;
Cingulata ;Dasypodidae ;Dasypus sp. ;
Cingulata ;Dasypodidae ;Priodontes maximus;VU
Didelphimorphia ;Didelphidae ;Didelphis albiventris ;
Didelphimorphia ;Didelphidae ;Didelphis aurita ;
Didelphimorphia ;Didelphidae ;Didelphis marsupialis ;
Didelphimorphia ;Didelphidae ;Didelphis sp. ;
Lagomorpha ;Leporidae ;Sylvilagus brasiliensis ;
Perissodactyla ;Tapiridae ;Tapirus terrestris;VU
Pilosa ;Bradypodidae ;Bradypus sp. ;
Pilosa ;Bradypodidae ;Bradypus tridactylus ;
Pilosa ;Bradypodidae ;Bradypus variegatus ;
Pilosa ;Cyclopedidae ;Cyclopes didactylus ;
Pilosa ;Megalonychidae ;Choloepus didactylus ;
Pilosa ;Myrmecophagidae ;Myrmecophaga tridactyla;VU
Pilosa ;Myrmecophagidae ;Tamandua tetradactyla ;
Primates ;Aotidae ;Aotus infulatus ;
Primates ;Aotidae ;Aotus nigriceps ;
Primates ;Aotidae ;Aotus trivirgatus ;
Primates ;Atelidae ;Alouatta belzebul;VU
Primates ;Atelidae ;Alouatta caraya ;
Primates ;Atelidae ;Alouatta discolor;VU
Primates ;Atelidae ;Alouatta guariba clamitans;VU
Primates ;Atelidae ;Alouatta juara ;
Primates ;Atelidae ;Alouatta macconnelli ;
Primates ;Atelidae ;Alouatta nigerrima ;
Primates ;Atelidae ;Alouatta puruensis ;
Primates ;Atelidae ;Alouatta sp. ;
Primates ;Atelidae ;Ateles belzebuth;VU
Primates ;Atelidae ;Ateles chamek;VU
Primates ;Atelidae ;Ateles marginatus;EN
Primates ;Atelidae ;Ateles paniscus ;
Primates ;Atelidae ;Brachyteles arachnoides;EN
Primates ;Atelidae ;Lagothrix lagothricha cana;EN
Primates ;Atelidae ;Lagothrix lagothricha poeppigii;VU
Primates ;Callitrichidae ;Callimico goeldii ;
Primates ;Callitrichidae ;Callithrix aurita;EN
Primates ;Callitrichidae ;Callithrix jacchus ;
Primates ;Callitrichidae ;Callithrix penicillata ;
Primates ;Callitrichidae ;Callithrix sp. ;
Primates ;Callitrichidae ;Cebuella pygmaea ;
Primates ;Callitrichidae ;Leontopithecus chrysomelas;EN
Primates ;Callitrichidae ;Mico argentatus ;
Primates ;Callitrichidae ;Mico emiliae ;
Primates ;Callitrichidae ;Mico humeralifer ;
Primates ;Callitrichidae ;Mico leucippe ;
Primates ;Callitrichidae ;Mico melanurus ;
Primates ;Callitrichidae ;Mico rondoni;VU
Primates ;Callitrichidae ;Mico sp. ;
Primates ;Callitrichidae ;Saguinus imperator ;
Primates ;Callitrichidae ;Saguinus midas ;
Primates ;Callitrichidae ;Saguinus niger;
Primates ;Callitrichidae ;Saguinus sp. ;
Primates ;Callitrichidae ;Saguinus weddelli ;
Primates ;Cebidae ;Cebus albifrons ;
Primates ;Cebidae ;Cebus kaapori;CR
Primates ;Cebidae ;Cebus olivaceus ;
Primates ;Cebidae ;Cebus sp. ;
Primates ;Cebidae ;Cebus unicolor ;
Primates ;Cebidae ;Saimiri boliviensis ;
Primates ;Cebidae ;Saimiri cassiquiarensis ;
Primates ;Cebidae ;Saimiri collinsi ;
Primates ;Cebidae ;Saimiri macrodon ;
Primates ;Cebidae ;Saimiri sciureus ;
Primates ;Cebidae ;Saimiri sp. ;
Primates ;Cebidae ;Saimiri ustus ;
Primates ;Cebidae ;Sapajus apella ;
Primates ;Cebidae ;Sapajus cay;VU
Primates ;Cebidae ;Sapajus libidinosus ;
Primates ;Cebidae ;Sapajus macrocephalus ;
Primates ;Cebidae ;Sapajus nigritus ;
Primates ;Cebidae ;Sapajus xanthosternos;EN
Primates ;Pitheciidae ;Cacajao calvus ;
Primates ;Pitheciidae ;Cacajao melanocephalus ;
Primates ;Pitheciidae ;Cacajao sp. ;
Primates ;Pitheciidae ;Callicebus bernhardi ;
Primates ;Pitheciidae ;Callicebus brunneus ;
Primates ;Pitheciidae ;Callicebus caligatus ;
Primates ;Pitheciidae ;Callicebus cupreus ;
Primates ;Pitheciidae ;Callicebus dubius ;
Primates ;Pitheciidae ;Callicebus hoffmannsi ;
Primates ;Pitheciidae ;Callicebus lugens ;
Primates ;Pitheciidae ;Callicebus moloch ;
Primates ;Pitheciidae ;Callicebus sp. ;
Primates ;Pitheciidae ;Callicebus vieirai;DD
Primates ;Pitheciidae ;Chiropotes albinasus ;
Primates ;Pitheciidae ;Chiropotes chiropotes ;
Primates ;Pitheciidae ;Chiropotes sagulatus ;
Primates ;Pitheciidae ;Chiropotes satanas;CR
Primates ;Pitheciidae ;Chiropotes utahickae;VU
Primates ;Pitheciidae ;Pithecia chrysocephala ;
Primates ;Pitheciidae ;Pithecia irrorata;DD
Primates ;Pitheciidae ;Pithecia monachus ;
Primates ;Pitheciidae ;Pithecia pithecia ;
Primates ;Pitheciidae ;Pithecia vanzolinii ;
Primates ;Pitheciidae ;Plecturocebus toppini ;
Rodentia ;Caviidae ;Cavia sp. ;
Rodentia ;Caviidae ;Galea spii ;
Rodentia ;Caviidae ;Hydrochoerus hydrochaeris ;
Rodentia ;Cuniculidae ;Cuniculus paca ;
Rodentia ;Cuniculidae ;Dinomys paca ;
Rodentia ;Dasyproctidae ;Dasyprocta azarae ;
Rodentia ;Dasyproctidae ;Dasyprocta croconota ;
Rodentia ;Dasyproctidae ;Dasyprocta fuliginosa ;
Rodentia ;Dasyproctidae ;Dasyprocta iacki ;
Rodentia ;Dasyproctidae ;Dasyprocta leporina ;
Rodentia ;Dasyproctidae ;Dasyprocta prymnolopha ;
Rodentia ;Dasyproctidae ;Dasyprocta sp. ;
Rodentia ;Dasyproctidae ;Myoprocta acouchy ;
Rodentia ;Dasyproctidae ;Myoprocta pratti ;
Rodentia ;Dasyproctidae ;Myoprocta sp. ;
Rodentia ;Erethizontidae ;Coendou bicolor ;
Rodentia ;Erethizontidae ;Coendou prehensilis ;
Rodentia ;Erethizontidae ;Coendou sp. ;
Rodentia ;Sciuridae ;Guerlinguetus aestuans ;
Rodentia ;Sciuridae ;Guerlinguetus gilvigularis ;
Rodentia ;Sciuridae ;Guerlinguetus ignitus ;
Rodentia ;Sciuridae ;Guerlinguetus ingrami ;
Rodentia ;Sciuridae ;Guerlinguetus sp. ;
Rodentia ;Sciuridae ;Microsciurus flaviventer ;
Rodentia ;Sciuridae ;Microsciurus sp. ;
Rodentia ;Sciuridae ;Sciuridae ;
Rodentia ;Sciuridae ;Sciurillus pusillus ;
Rodentia ;Sciuridae ;Sciurillus sp. ;
Rodentia ;Sciuridae ;Urosciurus igniventris ;
Rodentia ;Sciuridae ;Urosciurus sp. ;
Rodentia ;Sciuridae ;Urosciurus spadiceus ;
